8; 450_950_0.7_0.1_202;1556,8488;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_202;1553,0112;;1545,3071;1730,5066;1605,15413;65,33126736;;;;;;;;;
0; 450_950_0.7_0.1_207;1561,6646;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_207;1509,5143;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_207;1526,2166;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_207;1589,6302;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_207;1676,4158;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_207;1657,7728;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_207;1686,9736;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_207;1587,1886;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_207;1532,6323;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_207;1609,8046;;1509,5143;1686,9736;1593,78134;60,30109245;;;;;;;;;
0; 450_950_0.7_0.1_211;1693,7723;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_211;1656,695;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_211;1667,707;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_211;1752,7472;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_211;1577,0303;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_211;1649,7982;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_211;1608,8478;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_211;1548,1368;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_211;1477,6051;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_211;1642,6461;;1477,6051;1752,7472;1627,49858;74,11918613;;;;;;;;;
0; 450_950_0.7_0.1_216;1619,7736;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_216;1645,3081;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_216;1531,0605;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_216;1553,7372;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_216;1578,3329;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_216;1591,6542;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_216;1557,562;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_216;1541,0343;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_216;1591,9071;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_216;1697,5592;;1531,0605;1697,5592;1590,79291;48,87674416;;;;;;;;;
