7; 450_950_0.6500001_0.1_90;1007,4757;;;;;;;;;;;;;;
8; 450_950_0.6500001_0.1_90;899,1206;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.6500001_0.1_90;937,2151;;896,148;1007,4757;944,641465;36,99597435;;;;;;;;;
0; 450_950_0.7000001_0.1_90;921,4174;;;;;;;;;;;;;;
1; 450_950_0.7000001_0.1_90;850,48755;;;;;;;;;;;;;;
2; 450_950_0.7000001_0.1_90;918,2038;;;;;;;;;;;;;;
3; 450_950_0.7000001_0.1_90;937,3462;;;;;;;;;;;;;;
4; 450_950_0.7000001_0.1_90;1027,7008;;;;;;;;;;;;;;
5; 450_950_0.7000001_0.1_90;947,1015;;;;;;;;;;;;;;
6; 450_950_0.7000001_0.1_90;864,0674;;;;;;;;;;;;;;
7; 450_950_0.7000001_0.1_90;930,97296;;;;;;;;;;;;;;
8; 450_950_0.7000001_0.1_90;929,0702;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7000001_0.1_90;913,6428;;850,48755;1027,7008;924,001061;45,47913759;;;;;;;;;
0; 450_950_0.7500001_0.1_90;935,2481;;;;;;;;;;;;;;
1; 450_950_0.7500001_0.1_90;948,82324;;;;;;;;;;;;;;
2; 450_950_0.7500001_0.1_90;876,4438;;;;;;;;;;;;;;
3; 450_950_0.7500001_0.1_90;984,4608;;;;;;;;;;;;;;
4; 450_950_0.7500001_0.1_90;881,85614;;;;;;;;;;;;;;
5; 450_950_0.7500001_0.1_90;929,33826;;;;;;;;;;;;;;
6; 450_950_0.7500001_0.1_90;906,45575;;;;;;;;;;;;;;
7; 450_950_0.7500001_0.1_90;937,4275;;;;;;;;;;;;;;
8; 450_950_0.7500001_0.1_90;918,3444;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7500001_0.1_90;887,4563;;876,4438;984,4608;920,585429;31,94268114;;;;;;;;;
0; 450_950_0.80000013_0.1_90;927,6611;;;;;;;;;;;;;;
1; 450_950_0.80000013_0.1_90;838,1096;;;;;;;;;;;;;;
2; 450_950_0.80000013_0.1_90;919,5371;;;;;;;;;;;;;;
3; 450_950_0.80000013_0.1_90;973,50903;;;;;;;;;;;;;;
4; 450_950_0.80000013_0.1_90;1021,20044;;;;;;;;;;;;;;
5; 450_950_0.80000013_0.1_90;987,53735;;;;;;;;;;;;;;
6; 450_950_0.80000013_0.1_90;956,56744;;;;;;;;;;;;;;
7; 450_950_0.80000013_0.1_90;1028,2808;;;;;;;;;;;;;;
8; 450_950_0.80000013_0.1_90;986,77277;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.80000013_0.1_90;933,6476;;838,1096;1028,2808;957,282323;53,13947343;;;;;;;;;
0; 450_950_0.85000014_0.1_90;973,87213;;;;;;;;;;;;;;
1; 450_950_0.85000014_0.1_90;925,5688;;;;;;;;;;;;;;
2; 450_950_0.85000014_0.1_90;968,5907;;;;;;;;;;;;;;
3; 450_950_0.85000014_0.1_90;965,17914;;;;;;;;;;;;;;
4; 450_950_0.85000014_0.1_90;1036,1963;;;;;;;;;;;;;;
5; 450_950_0.85000014_0.1_90;1043,1996;;;;;;;;;;;;;;
6; 450_950_0.85000014_0.1_90;995,70264;;;;;;;;;;;;;;
7; 450_950_0.85000014_0.1_90;949,6334;;;;;;;;;;;;;;
8; 450_950_0.85000014_0.1_90;891,21686;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.85000014_0.1_90;962,8179;;891,21686;1043,1996;971,197747;43,67370736;;;;;;;;;
0; 450_950_0.90000015_0.1_90;884,6425;;;;;;;;;;;;;;
1; 450_950_0.90000015_0.1_90;896,723;;;;;;;;;;;;;;
2; 450_950_0.90000015_0.1_90;965,76733;;;;;;;;;;;;;;
3; 450_950_0.90000015_0.1_90;961,4491;;;;;;;;;;;;;;
4; 450_950_0.90000015_0.1_90;936,98505;;;;;;;;;;;;;;
5; 450_950_0.90000015_0.1_90;914,42664;;;;;;;;;;;;;;
6; 450_950_0.90000015_0.1_90;905,5724;;;;;;;;;;;;;;
7; 450_950_0.90000015_0.1_90;1004,88525;;;;;;;;;;;;;;
8; 450_950_0.90000015_0.1_90;852,5316;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.90000015_0.1_90;994,8602;;852,5316;1004,88525;931,784307;47,0161665;;;;;;;;;
0; 450_950_0.95000017_0.1_90;999,80054;;;;;;;;;;;;;;
1; 450_950_0.95000017_0.1_90;965,6826;;;;;;;;;;;;;;
2; 450_950_0.95000017_0.1_90;944,39984;;;;;;;;;;;;;;
3; 450_950_0.95000017_0.1_90;898,7005;;;;;;;;;;;;;;
4; 450_950_0.95000017_0.1_90;895,1108;;;;;;;;;;;;;;
5; 450_950_0.95000017_0.1_90;882,9966;;;;;;;;;;;;;;
6; 450_950_0.95000017_0.1_90;1003,8297;;;;;;;;;;;;;;
7; 450_950_0.95000017_0.1_90;888,9899;;;;;;;;;;;;;;
8; 450_950_0.95000017_0.1_90;912,01294;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.95000017_0.1_90;1027,1018;;882,9966;1027,1018;941,862522;51,2217784;;;;;;;;;
0; 450_950_1.0000001_0.1_90;912,0978;;;;;;;;;;;;;;
1; 450_950_1.0000001_0.1_90;934,01196;;;;;;;;;;;;;;
2; 450_950_1.0000001_0.1_90;929,7179;;;;;;;;;;;;;;
3; 450_950_1.0000001_0.1_90;1020,15784;;;;;;;;;;;;;;
4; 450_950_1.0000001_0.1_90;1016,11523;;;;;;;;;;;;;;
5; 450_950_1.0000001_0.1_90;1034,611;;;;;;;;;;;;;;
6; 450_950_1.0000001_0.1_90;870,6944;;;;;;;;;;;;;;
7; 450_950_1.0000001_0.1_90;1024,502;;;;;;;;;;;;;;
8; 450_950_1.0000001_0.1_90;903,2965;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_1.0000001_0.1_90;922,85364;;870,6944;1034,611;956,805827;57,31561777;;;;;;;;;
