7; 100_100_0.7_0.06999999_5;909,8703;;;;;;935,499;1126,5778;1000,337659;;
8; 100_100_0.7_0.06999999_5;957,9654;;Best;Worst;Average;;924,721;1150,8026;1046,51365;;
9; 100_100_0.7_0.06999999_5;1041,375;;909,8703;1152,1461;1022,244056;;;;;;
0; 100_100_0.7_0.074999996_5;1051,2509;;;;;;;;;;
1; 100_100_0.7_0.074999996_5;1078,5953;;;;;;;;;;
2; 100_100_0.7_0.074999996_5;1070,5752;;;;;;;;;;
3; 100_100_0.7_0.074999996_5;1085,1178;;;;;;;;;;
4; 100_100_0.7_0.074999996_5;1077,5205;;;;;;;;;;
5; 100_100_0.7_0.074999996_5;1193,7006;;;;;;;;;;
6; 100_100_0.7_0.074999996_5;1177,2666;;;;;;;;;;
7; 100_100_0.7_0.074999996_5;1010,36456;;;;;;;;;;
8; 100_100_0.7_0.074999996_5;1174,95;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.074999996_5;953,591;;953,591;1193,7006;1087,293246;;;;;;
0; 100_100_0.7_0.08_5;1103,2101;;;;;;;;;;
1; 100_100_0.7_0.08_5;1168,693;;;;;;;;;;
2; 100_100_0.7_0.08_5;1127,2164;;;;;;;;;;
3; 100_100_0.7_0.08_5;1183,6315;;;;;;;;;;
4; 100_100_0.7_0.08_5;1208,2739;;;;;;;;;;
5; 100_100_0.7_0.08_5;1058,1963;;;;;;;;;;
6; 100_100_0.7_0.08_5;1151,8071;;;;;;;;;;
7; 100_100_0.7_0.08_5;1181,1736;;;;;;;;;;
8; 100_100_0.7_0.08_5;1097,7649;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.08_5;1057,4741;;1057,4741;1208,2739;1133,74409;;;;;;
0; 100_100_0.7_0.085_5;1000,13934;;;;;;;;;;
1; 100_100_0.7_0.085_5;980,0005;;;;;;;;;;
2; 100_100_0.7_0.085_5;994,04517;;;;;;;;;;
3; 100_100_0.7_0.085_5;1006,4849;;;;;;;;;;
4; 100_100_0.7_0.085_5;895,18524;;;;;;;;;;
5; 100_100_0.7_0.085_5;1003,95374;;;;;;;;;;
6; 100_100_0.7_0.085_5;1013,83636;;;;;;;;;;
7; 100_100_0.7_0.085_5;968,00323;;;;;;;;;;
8; 100_100_0.7_0.085_5;1025,4913;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.085_5;987,5783;;895,18524;1025,4913;987,471808;;;;;;
0; 100_100_0.7_0.09_5;1090,5619;;;;;;;;;;
1; 100_100_0.7_0.09_5;989,0402;;;;;;;;;;
2; 100_100_0.7_0.09_5;1076,9458;;;;;;;;;;
3; 100_100_0.7_0.09_5;1049,6675;;;;;;;;;;
4; 100_100_0.7_0.09_5;954,9177;;;;;;;;;;
5; 100_100_0.7_0.09_5;1115,9364;;;;;;;;;;
6; 100_100_0.7_0.09_5;1141,4896;;;;;;;;;;
7; 100_100_0.7_0.09_5;1026,3843;;;;;;;;;;
8; 100_100_0.7_0.09_5;955,7337;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.09_5;1017,43994;;954,9177;1141,4896;1041,811704;;;;;;
0; 100_100_0.7_0.095000006_5;935,499;;;;;;;;;;
1; 100_100_0.7_0.095000006_5;1055,7429;;;;;;;;;;
2; 100_100_0.7_0.095000006_5;967,33;;;;;;;;;;
3; 100_100_0.7_0.095000006_5;949,6144;;;;;;;;;;
4; 100_100_0.7_0.095000006_5;1050,9059;;;;;;;;;;
5; 100_100_0.7_0.095000006_5;959,69055;;;;;;;;;;
6; 100_100_0.7_0.095000006_5;1126,5778;;;;;;;;;;
7; 100_100_0.7_0.095000006_5;1046,7448;;;;;;;;;;
8; 100_100_0.7_0.095000006_5;951,8678;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.095000006_5;959,40344;;935,499;1126,5778;1000,337659;;;;;;
0; 100_100_0.7_0.10000001_5;1043,106;;;;;;;;;;
1; 100_100_0.7_0.10000001_5;942,8078;;;;;;;;;;
2; 100_100_0.7_0.10000001_5;1129,6266;;;;;;;;;;
3; 100_100_0.7_0.10000001_5;1124,7207;;;;;;;;;;
4; 100_100_0.7_0.10000001_5;1027,5012;;;;;;;;;;
5; 100_100_0.7_0.10000001_5;993,7253;;;;;;;;;;
6; 100_100_0.7_0.10000001_5;924,721;;;;;;;;;;
7; 100_100_0.7_0.10000001_5;1060,5624;;;;;;;;;;
8; 100_100_0.7_0.10000001_5;1150,8026;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.10000001_5;1067,5629;;924,721;1150,8026;1046,51365;;;;;;
0; 100_100_0.7_0.10500001_5;1035,1243;;;;;;;;;;
1; 100_100_0.7_0.10500001_5;956,35846;;;;;;;;;;
2; 100_100_0.7_0.10500001_5;1074,8845;;;;;;;;;;
3; 100_100_0.7_0.10500001_5;1005,6026;;;;;;;;;;
4; 100_100_0.7_0.10500001_5;1097,3915;;;;;;;;;;
5; 100_100_0.7_0.10500001_5;914,35486;;;;;;;;;;
6; 100_100_0.7_0.10500001_5;1013,92255;;;;;;;;;;
7; 100_100_0.7_0.10500001_5;973,7318;;;;;;;;;;
8; 100_100_0.7_0.10500001_5;1036,5035;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.10500001_5;1014,1797;;914,35486;1097,3915;1012,205377;;;;;;
0; 100_100_0.7_0.110000014_5;997,8068;;;;;;;;;;
1; 100_100_0.7_0.110000014_5;938,9358;;;;;;;;;;
2; 100_100_0.7_0.110000014_5;983,97876;;;;;;;;;;
3; 100_100_0.7_0.110000014_5;1028,7225;;;;;;;;;;
4; 100_100_0.7_0.110000014_5;1063,9927;;;;;;;;;;
5; 100_100_0.7_0.110000014_5;1057,8271;;;;;;;;;;
6; 100_100_0.7_0.110000014_5;1033,3608;;;;;;;;;;
7; 100_100_0.7_0.110000014_5;947,8668;;;;;;;;;;
8; 100_100_0.7_0.110000014_5;979,08105;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.110000014_5;1000,17847;;938,9358;1063,9927;1003,175078;;;;;;
0; 100_100_0.7_0.11500002_5;942,9534;;;;;;;;;;
1; 100_100_0.7_0.11500002_5;1024,916;;;;;;;;;;
2; 100_100_0.7_0.11500002_5;1044,658;;;;;;;;;;
3; 100_100_0.7_0.11500002_5;1052,165;;;;;;;;;;
4; 100_100_0.7_0.11500002_5;1059,9442;;;;;;;;;;
5; 100_100_0.7_0.11500002_5;1201,0864;;;;;;;;;;
6; 100_100_0.7_0.11500002_5;1016,2733;;;;;;;;;;
7; 100_100_0.7_0.11500002_5;932,2667;;;;;;;;;;
8; 100_100_0.7_0.11500002_5;1100,6743;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.11500002_5;924,3534;;924,3534;1201,0864;1029,92907;;914,35486;1097,3915;1012,205377;;
0; 100_100_0.7_0.12000002_5;1065,9768;;;;;;938,9358;1063,9927;1003,175078;;
1; 100_100_0.7_0.12000002_5;1090,1426;;;;;;924,3534;1201,0864;1029,92907;;
2; 100_100_0.7_0.12000002_5;1047,0361;;;;;;928,7009;1091,9596;1017,955766;;
3; 100_100_0.7_0.12000002_5;1013,2346;;;;;;877,2004;1127,0708;1023,422284;;
4; 100_100_0.7_0.12000002_5;1001,5331;;;;;;894,9033;1098,516;985,3338;;
5; 100_100_0.7_0.12000002_5;928,7009;;;;;;921,58496;1027,9536;976,264177;;
