0; 1000_10_100;1027,8195;;;;;;;;;;;;;;
3; 1000_24_100;1094,5961;;;;;;;; 1000_145_100;1059,5703;;982,11554;1059,5703;1012,383782;22,9474229
4; 1000_24_100;1102,6003;;;;;;;; 1000_146_100;997,63763;;997,4718;1037,9036;1010,673045;14,63848782
5; 1000_24_100;1034,5437;;;;;;;; 1000_147_100;1001,042;;1000,03125;1062,0808;1020,29775;18,88420816
6; 1000_24_100;1036,0961;;;;;;;; 1000_148_100;1013,6817;;984,7028;1031,7094;1009,388756;11,75456386
7; 1000_24_100;1019,60114;;;;;;;; 1000_149_100;1029,9374;;997,63763;1059,5703;1029,486809;18,74568618
8; 1000_24_100;1032,8384;;Best;Worst;Avg;Std;;; 1000_150_100;1008,06354;;977,7313;1029,9429;1010,904781;16,26678612
9; 1000_24_100;997,63763;;997,63763;1102,6003;1048,0494;33,42052277;;; 1000_151_100;1058,8604;;997,63763;1058,8604;1028,200143;22,32212981
0; 1000_25_100;1017,4994;;;;;;;; 1000_152_100;1037,4309;;997,63763;1039,8721;1021,097674;17,34544087
1; 1000_25_100;1027,9268;;;;;;;; 1000_153_100;1002,5845;;1002,40405;1070,5214;1026,30134;24,70810372
2; 1000_25_100;1054,2366;;;;;;;; 1000_154_100;1004,90106;;1003,1141;1042,9073;1016,6459;13,67905581
3; 1000_25_100;1042,9978;;;;;;;; 1000_155_100;997,63763;;997,63763;1059,5703;1026,906338;22,19003242
4; 1000_25_100;1019,2403;;;;;;;; 1000_156_100;997,63763;;997,63763;1052,0034;1017,38605;18,4543056
5; 1000_25_100;1001,4408;;;;;;;; 1000_157_100;1042,1973;;990,7035;1065,4166;1022,02002;21,09426664
6; 1000_25_100;1008,06354;;;;;;;; 1000_158_100;1029,9429;;997,63763;1042,9073;1016,644816;15,17674174
7; 1000_25_100;1022,45154;;;;;;;; 1000_159_100;1002,40405;;997,63763;1060,467;1020,856757;20,79005267
8; 1000_25_100;1024,6547;;Best;Worst;Avg;Std;;; 1000_160_100;1023,0358;;997,47186;1032,3055;1012,77658;11,5359333
9; 1000_25_100;1046,3557;;1001,4408;1054,2366;1026,486718;15,99735906;;; 1000_161_100;997,63763;;997,63763;1037,9036;1010,619573;13,79454992
0; 1000_26_100;1036,0143;;;;;;;; 1000_162_100;1020,0946;;997,05334;1067,5573;1025,143078;24,44746259
1; 1000_26_100;1003,1141;;;;;;;; 1000_163_100;1006,9071;;1003,1141;1067,5573;1025,051854;19,12490798
2; 1000_26_100;998,7926;;;;;;;; 1000_164_100;1029,9429;;1001,68384;1087,3651;1029,738563;26,49497575
3; 1000_26_100;1003,1141;;;;;;;; 1000_165_100;1064,0308;;1000,75287;1064,0308;1022,288069;21,94160389
4; 1000_26_100;1067,5573;;;;;;;; 1000_166_100;997,63763;;996,19025;1043,2194;1011,225151;16,07958097
5; 1000_26_100;1043,2194;;;;;;;; 1000_167_100;1029,9429;;1000,75287;1067,5573;1022,840792;21,57825066
6; 1000_26_100;1037,6733;;;;;;;; 1000_168_100;1005,16864;;982,11554;1069,1494;1016,367541;26,59943537
7; 1000_26_100;1010,1817;;;;;;;; 1000_169_100;1004,90106;;1003,1141;1054,0939;1015,450412;17,38398782
8; 1000_26_100;1012,4992;;Best;Worst;Avg;Std;;; 1000_170_100;1020,3112;;996,19025;1067,9768;1019,382486;24,02876398
9; 1000_26_100;1028,7313;;998,7926;1067,5573;1024,08973;21,09810278;;; 1000_171_100;1047,9517;;1003,1141;1066,8473;1027,062892;21,58422817
0; 1000_27_100;1030,4194;;;;;;;; 1000_172_100;1006,9071;;1001,6839;1042,9073;1016,565763;15,25379194
1; 1000_27_100;1032,9272;;;;;;;; 1000_173_100;1044,8733;;1003,1141;1047,0782;1034,12713;11,78005523
2; 1000_27_100;1003,1141;;;;;;;; 1000_174_100;1013,3004;;990,7326;1059,5703;1013,019808;20,35790451
3; 1000_27_100;1037,936;;;;;;;; 1000_175_100;1003,1141;;997,63763;1041,295;1011,066257;13,65542172
4; 1000_27_100;1015,8051;;;;;;;; 1000_176_100;1003,1141;;1003,1141;1035,2235;1014,216354;11,32261413
5; 1000_27_100;1083,7666;;;;;;;; 1000_177_100;1006,9071;;997,63763;1062,0808;1018,608067;23,41262949
