8; 450_950_0.5999999_0.1_90;967,0414;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.5999999_0.1_90;1047,0331;;907,3162;1047,0331;957,105631;48,44212765;;;;;;;;;
0; 450_950_0.6099999_0.1_90;910,4211;;;;;;;;;;;;;;
1; 450_950_0.6099999_0.1_90;985,0533;;;;;;;;;;;;;;
2; 450_950_0.6099999_0.1_90;964,7993;;;;;;;;;;;;;;
3; 450_950_0.6099999_0.1_90;927,0587;;;;;;;;;;;;;;
4; 450_950_0.6099999_0.1_90;974,9567;;;;;;;;;;;;;;
5; 450_950_0.6099999_0.1_90;976,8537;;;;;;;;;;;;;;
6; 450_950_0.6099999_0.1_90;999,3718;;;;;;;;;;;;;;
7; 450_950_0.6099999_0.1_90;916,29266;;;;;;;;;;;;;;
8; 450_950_0.6099999_0.1_90;896,6339;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6099999_0.1_90;946,7543;;896,6339;999,3718;949,819546;33,63987624;;;;;;;;;
0; 450_950_0.6199999_0.1_90;937,9368;;;;;;;;;;;;;;
1; 450_950_0.6199999_0.1_90;868,4221;;;;;;;;;;;;;;
2; 450_950_0.6199999_0.1_90;898,263;;;;;;;;;;;;;;
3; 450_950_0.6199999_0.1_90;914,598;;;;;;;;;;;;;;
4; 450_950_0.6199999_0.1_90;893,09576;;;;;;;;;;;;;;
5; 450_950_0.6199999_0.1_90;868,1268;;;;;;;;;;;;;;
6; 450_950_0.6199999_0.1_90;992,81;;;;;;;;;;;;;;
7; 450_950_0.6199999_0.1_90;894,109;;;;;;;;;;;;;;
8; 450_950_0.6199999_0.1_90;938,2621;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6199999_0.1_90;945,5232;;868,1268;992,81;915,114676;36,90022826;;;;;;;;;
0; 450_950_0.6299999_0.1_90;915,6998;;;;;;;;;;;;;;
1; 450_950_0.6299999_0.1_90;911,7925;;;;;;;;;;;;;;
2; 450_950_0.6299999_0.1_90;933,6714;;;;;;;;;;;;;;
3; 450_950_0.6299999_0.1_90;976,15295;;;;;;;;;;;;;;
4; 450_950_0.6299999_0.1_90;922,0742;;;;;;;;;;;;;;
5; 450_950_0.6299999_0.1_90;912,32996;;;;;;;;;;;;;;
6; 450_950_0.6299999_0.1_90;930,44934;;;;;;;;;;;;;;
7; 450_950_0.6299999_0.1_90;913,317;;;;;;;;;;;;;;
8; 450_950_0.6299999_0.1_90;1005,1727;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6299999_0.1_90;1053,0437;;911,7925;1053,0437;947,370355;45,94186584;;;;;;;;;
0; 450_950_0.63999987_0.1_90;923,7014;;;;;;;;;;;;;;
1; 450_950_0.63999987_0.1_90;929,07153;;;;;;;;;;;;;;
2; 450_950_0.63999987_0.1_90;893,57153;;;;;;;;;;;;;;
3; 450_950_0.63999987_0.1_90;1011,47546;;;;;;;;;;;;;;
4; 450_950_0.63999987_0.1_90;885,68146;;;;;;;;;;;;;;
5; 450_950_0.63999987_0.1_90;883,29156;;;;;;;;;;;;;;
6; 450_950_0.63999987_0.1_90;870,60315;;;;;;;;;;;;;;
7; 450_950_0.63999987_0.1_90;983,62683;;;;;;;;;;;;;;
8; 450_950_0.63999987_0.1_90;971,61694;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.63999987_0.1_90;883,42;;870,60315;1011,47546;923,605986;46,95560074;;;;;;;;;
0; 450_950_0.64999986_0.1_90;985,6377;;;;;;;;;;;;;;
1; 450_950_0.64999986_0.1_90;999,45154;;;;;;;;;;;;;;
2; 450_950_0.64999986_0.1_90;975,6329;;;;;;;;;;;;;;
3; 450_950_0.64999986_0.1_90;897,4751;;;;;;;;;;;;;;
4; 450_950_0.64999986_0.1_90;869,9041;;;;;;;;;;;;;;
5; 450_950_0.64999986_0.1_90;961,0616;;;;;;;;;;;;;;
6; 450_950_0.64999986_0.1_90;883,64246;;;;;;;;;;;;;;
7; 450_950_0.64999986_0.1_90;857,70715;;;;;;;;;;;;;;
8; 450_950_0.64999986_0.1_90;968,38904;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.64999986_0.1_90;970,07227;;857,70715;999,45154;936,897386;50,61095188;;;;;;;;;
0; 450_950_0.65999985_0.1_90;975,5768;;;;;;;;;;;;;;
1; 450_950_0.65999985_0.1_90;1069,8175;;;;;;;;;;;;;;
2; 450_950_0.65999985_0.1_90;991,92444;;;;;;;;;;;;;;
3; 450_950_0.65999985_0.1_90;943,3704;;;;;;;;;;;;;;
4; 450_950_0.65999985_0.1_90;1029,0116;;;;;;;;;;;;;;
5; 450_950_0.65999985_0.1_90;993,9868;;;;;;;;;;;;;;
6; 450_950_0.65999985_0.1_90;891,17413;;;;;;;;;;;;;;
7; 450_950_0.65999985_0.1_90;916,0365;;;;;;;;;;;;;;
8; 450_950_0.65999985_0.1_90;962,6567;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.65999985_0.1_90;1003,05975;;891,17413;1069,8175;977,661462;49,927602;;;;;;;;;
0; 450_950_0.66999984_0.1_90;900,75574;;;;;;;;;;;;;;
