;Current Best;Average;Worst;Global Best
258;816,67694;888,081;1402,6593;816,67694
259;816,67694;901,194;1243,9224;816,67694
260;816,67694;867,5191;1219,9849;816,67694
261;816,67694;877,63153;1347,3419;816,67694
262;816,67694;877,92975;1185,5197;816,67694
263;816,67694;877,3468;1457,9882;816,67694
264;816,67694;875,194;1406,0977;816,67694
265;816,67694;892,0984;1420,6104;816,67694
266;816,67694;888,95636;1340,1721;816,67694
267;816,67694;883,5614;1276,9504;816,67694
268;816,67694;876,2718;1225,2914;816,67694
269;816,67694;885,43176;1319,9888;816,67694
270;816,67694;865,69904;1185,5197;816,67694
271;816,67694;872,2076;1304,5542;816,67694
272;816,67694;872,9058;1232,9529;816,67694
273;816,67694;875,8477;1380,9088;816,67694
274;816,67694;873,47974;1276,1555;816,67694
275;816,67694;885,9439;1261,058;816,67694
276;816,67694;875,6996;1273,5228;816,67694
277;816,67694;880,5669;1309,1946;816,67694
278;816,67694;884,46924;1363,8853;816,67694
279;816,67694;885,4515;1314,2852;816,67694
280;816,67694;878,5926;1224,1282;816,67694
281;816,67694;876,37616;1211,3065;816,67694
282;816,67694;883,3562;1407,2083;816,67694
283;816,67694;893,63306;1411,6063;816,67694
284;816,67694;886,3773;1291,5321;816,67694
285;816,67694;888,48926;1244,58;816,67694
286;816,67694;886,62103;1318,5737;816,67694
287;816,67694;880,68353;1279,8329;816,67694
288;816,67694;885,3365;1389,9518;816,67694
289;816,67694;874,17346;1179,8961;816,67694
290;816,67694;883,03815;1246,632;816,67694
291;816,67694;880,7269;1257,737;816,67694
292;816,67694;884,93756;1211,3065;816,67694
293;816,67694;876,2036;1297,7677;816,67694
294;816,67694;876,98425;1213,9421;816,67694
295;816,67694;885,5529;1443,509;816,67694
296;816,67694;875,1344;1243,487;816,67694
297;816,67694;883,98126;1340,9476;816,67694
298;816,67694;883,34564;1296,5432;816,67694
299;816,67694;884,80383;1501,0999;816,67694
300;816,67694;872,16833;1307,2545;816,67694
301;816,67694;877,0242;1267,265;816,67694
302;816,67694;880,3951;1328,3992;816,67694
303;816,67694;886,1219;1516,2311;816,67694
304;816,67694;883,3597;1219,9849;816,67694
305;816,67694;877,70984;1413,4089;816,67694
306;816,67694;891,99866;1366,0485;816,67694
307;816,67694;891,0957;1339,6672;816,67694
308;816,67694;877,2555;1227,9438;816,67694
309;816,67694;878,45874;1275,0812;816,67694
310;816,67694;869,08813;1213,7905;816,67694
311;816,67694;883,4887;1431,4797;816,67694
312;816,67694;879,90137;1211,3065;816,67694
313;816,67694;872,1576;1185,967;816,67694
314;816,67694;887,7986;1399,1721;816,67694
315;816,67694;889,36993;1377,8374;816,67694
316;816,67694;894,58514;1263,5093;816,67694
317;816,67694;887,7223;1287,9377;816,67694
318;816,67694;882,73505;1279,6412;816,67694
319;816,67694;886,64923;1319,5331;816,67694
320;816,67694;872,7339;1254,8927;816,67694
321;816,67694;877,40424;1248,8164;816,67694
322;816,67694;870,8544;1187,673;816,67694
323;816,67694;891,0949;1274,5173;816,67694
324;816,67694;883,3423;1212,0505;816,67694
325;816,67694;887,4068;1496,0721;816,67694
326;816,67694;875,29224;1284,8373;816,67694
327;816,67694;877,9213;1210,2979;816,67694
328;816,67694;882,01294;1350,0927;816,67694
329;816,67694;881,74475;1249,6447;816,67694
330;816,67694;895,89496;1277,9908;816,67694
331;816,67694;884,9465;1242,8068;816,67694
332;816,67694;881,10504;1284,8975;816,67694
333;816,67694;892,5481;1302,6837;816,67694
334;816,67694;886,7208;1272,0245;816,67694
335;816,67694;882,27966;1239,4232;816,67694
336;816,67694;884,2779;1344,4794;816,67694
337;816,67694;879,3365;1380,9768;816,67694
338;816,67694;881,64307;1232,6741;816,67694
339;816,67694;881,09125;1319,9203;816,67694
340;816,67694;882,8327;1284,2909;816,67694
341;816,67694;890,43713;1309,8882;816,67694
342;816,67694;873,85394;1281,8152;816,67694
343;816,67694;884,25793;1296,1542;816,67694
344;816,67694;892,34686;1324,7339;816,67694
345;816,67694;881,28546;1185,5197;816,67694
346;816,67694;892,76697;1354,3878;816,67694
347;816,67694;880,9805;1323,4283;816,67694
348;816,67694;870,31683;1242,279;816,67694
349;816,67694;869,5555;1238,4049;816,67694
350;816,67694;872,415;1185,5197;816,67694
351;816,67694;884,938;1376,8643;816,67694
352;816,67694;875,14606;1248,1555;816,67694
353;816,67694;878,3391;1219,1028;816,67694
354;816,67694;884,3017;1296,4783;816,67694
355;816,67694;875,44946;1321,6268;816,67694
356;816,67694;882,6161;1225,311;816,67694
357;816,67694;882,6196;1214,2821;816,67694
358;816,67694;868,69196;1204,515;816,67694
359;816,67694;887,76685;1351,5521;816,67694
360;816,67694;876,29767;1221,5857;816,67694
361;816,67694;877,4406;1320,9747;816,67694
362;816,67694;869,1991;1248,8539;816,67694
363;816,67694;879,63513;1230,8558;816,67694
364;816,67694;870,7889;1321,841;816,67694
365;816,67694;877,34863;1298,7222;816,67694
366;816,67694;873,8889;1209,3911;816,67694
367;816,67694;874,56696;1285,0225;816,67694
368;816,67694;878,95374;1209,3911;816,67694
369;816,67694;879,5867;1281,8152;816,67694
370;816,67694;869,7868;1213,574;816,67694
371;816,67694;870,73883;1267,1224;816,67694
372;816,67694;866,45667;1209,3911;816,67694
373;816,67694;868,7109;1231,319;816,67694
374;816,67694;876,82715;1373,3953;816,67694
375;816,67694;882,5783;1209,1716;816,67694
376;816,67694;879,2615;1209,3911;816,67694
377;816,67694;878,64966;1233,4644;816,67694
378;816,67694;886,09814;1312,37;816,67694
379;816,67694;873,9083;1223,387;816,67694
380;816,67694;891,49646;1393,3663;816,67694
381;816,67694;882,64923;1207,1163;816,67694
382;816,67694;879,69745;1252,1888;816,67694
383;816,67694;889,58386;1357,2223;816,67694
384;816,67694;877,9819;1348,8276;816,67694
385;816,67694;885,42474;1273,3337;816,67694
386;816,67694;873,8327;1230,8372;816,67694
387;816,67694;883,44617;1255,1519;816,67694
388;816,67694;879,55914;1335,7074;816,67694
389;816,67694;878,48346;1411,3474;816,67694
390;816,67694;864,11926;1303,1781;816,67694
391;816,67694;881,4083;1305,919;816,67694
392;816,67694;882,10803;1266,8732;816,67694
393;816,67694;891,2409;1279,1489;816,67694
394;816,67694;886,29114;1292,9309;816,67694
395;816,67694;888,0745;1244,356;816,67694
396;816,67694;878,00037;1403,0443;816,67694
397;816,67694;870,19916;1296,9083;816,67694
398;816,67694;875,0024;1353,3442;816,67694
399;816,67694;872,11993;1404,503;816,67694
400;816,67694;886,63995;1268,0774;816,67694
401;816,67694;883,5544;1347,9545;816,67694
402;816,67694;875,543;1283,7356;816,67694
403;816,67694;878,62415;1322,8303;816,67694
404;816,67694;888,8769;1403,5704;816,67694
405;816,67694;875,42444;1288,648;816,67694
406;816,67694;887,72235;1291,9149;816,67694
407;816,67694;871,6331;1209,3911;816,67694
408;816,67694;864,432;1221,0985;816,67694
409;816,67694;877,07855;1265,8282;816,67694
410;816,67694;878,86676;1415,1202;816,67694
411;816,67694;877,2556;1298,7953;816,67694
412;816,67694;873,5801;1199,7139;816,67694
413;816,67694;898,15314;1194,5635;816,67694
414;816,67694;891,14746;1253,245;816,67694
415;816,67694;883,03265;1324,3933;816,67694
416;816,67694;881,3389;1341,1688;816,67694
417;816,67694;878,97974;1317,3464;816,67694
418;816,67694;872,93036;1327,3309;816,67694
419;816,67694;870,35254;1330,8394;816,67694
420;816,67694;876,22156;1299,5795;816,67694
421;816,67694;880,9842;1316,2108;816,67694
422;816,67694;876,8824;1273,2169;816,67694
423;816,67694;890,9457;1312,8741;816,67694
424;816,67694;885,1542;1222,8683;816,67694
425;816,67694;870,4259;1360,2557;816,67694
426;816,67694;875,09827;1234,7141;816,67694
427;816,67694;889,2224;1311,6897;816,67694
428;816,67694;874,3826;1311,2413;816,67694
429;816,67694;881,84485;1274,5481;816,67694
430;816,67694;886,57263;1334,7012;816,67694
431;816,67694;881,28;1314,0947;816,67694
432;816,67694;873,6809;1273,8739;816,67694
433;816,67694;872,4722;1282,5621;816,67694
434;816,67694;881,13165;1219,9849;816,67694
435;816,67694;882,3602;1209,3911;816,67694
436;816,67694;878,43555;1302,5654;816,67694
437;816,67694;895,96576;1368,9501;816,67694
438;816,67694;886,1067;1263,2402;816,67694
439;816,67694;878,38403;1246,0514;816,67694
440;816,67694;880,63403;1240,0996;816,67694
441;816,67694;868,24536;1394,1906;816,67694
442;816,67694;887,5281;1274,4303;816,67694
443;816,67694;879,19946;1221,1058;816,67694
444;816,67694;872,14215;1217,1659;816,67694
445;816,67694;872,73224;1209,3911;816,67694
446;816,67694;872,9782;1297,6884;816,67694
447;816,67694;877,672;1275,4689;816,67694
448;816,67694;873,69604;1239,8254;816,67694
449;816,67694;884,15924;1276,1835;816,67694
450;816,67694;881,311;1241,2935;816,67694
451;816,67694;880,8392;1254,8252;816,67694
452;816,67694;875,5539;1219,9849;816,67694
453;816,67694;885,59326;1253,7274;816,67694
454;816,67694;890,3434;1332,936;816,67694
455;816,67694;894,7975;1234,8715;816,67694
456;816,67694;885,9289;1372,6123;816,67694
457;816,67694;878,39935;1240,7672;816,67694
458;816,67694;886,99457;1270,0515;816,67694
459;816,67694;874,9867;1510,1178;816,67694
460;816,67694;888,4616;1251,5682;816,67694
461;816,67694;872,0857;1290,956;816,67694
462;816,67694;876,72076;1291,6876;816,67694
463;816,67694;873,4834;1291,6578;816,67694
464;816,67694;886,8297;1254,0995;816,67694
465;816,67694;885,54474;1312,8905;816,67694
466;816,67694;884,4179;1219,9849;816,67694
467;816,67694;889,0457;1276,2737;816,67694
468;816,67694;886,74963;1357,7955;816,67694
469;816,67694;873,7092;1218,9218;816,67694
470;816,67694;897,6349;1219,9849;816,67694
471;816,67694;894,02356;1456,4933;816,67694
472;816,67694;875,85736;1299,3342;816,67694
473;816,67694;884,7416;1392,0886;816,67694
474;816,67694;885,9663;1340,7488;816,67694
475;816,67694;888,9426;1251,524;816,67694
476;816,67694;878,5135;1282,2551;816,67694
477;816,67694;865,2453;1175,139;816,67694
478;816,67694;874,0764;1260,5465;816,67694
479;816,67694;866,40063;1236,5408;816,67694
480;816,67694;875,8875;1209,3911;816,67694
481;816,67694;886,4261;1317,4497;816,67694
482;816,67694;893,18463;1278,7656;816,67694
483;816,67694;882,39056;1289,0769;816,67694
484;816,67694;879,42126;1243,5007;816,67694
485;816,67694;886,63336;1363,5576;816,67694
486;816,67694;886,63495;1377,9335;816,67694
487;816,67694;883,7396;1232,764;816,67694
488;816,67694;883,35803;1236,0137;816,67694
489;816,67694;881,9586;1258,1382;816,67694
490;816,67694;874,0277;1269,5725;816,67694
491;816,67694;874,22034;1260,0505;816,67694
492;816,67694;890,29626;1314,3918;816,67694
493;816,67694;885,10126;1305,3541;816,67694
494;816,67694;870,15063;1243,0715;816,67694
495;816,67694;883,558;1374,4978;816,67694
496;816,67694;877,17535;1318,0569;816,67694
497;816,67694;862,54974;1148,9037;816,67694
498;816,67694;883,8909;1431,7124;816,67694
499;816,67694;882,19525;1294,8589;816,67694
500;816,67694;877,957;1201,1896;816,67694
501;816,67694;885,6946;1457,6411;816,67694
502;816,67694;883,7984;1292,8325;816,67694
503;816,67694;885,95294;1299,1542;816,67694
504;816,67694;880,6619;1264,1115;816,67694
505;816,67694;881,11;1251,8668;816,67694
506;816,67694;873,7535;1251,3881;816,67694
507;816,67694;886,70685;1268,5106;816,67694
