0; 800_450_0.7_0.1_104;920,53845;;;;;;;;;;;;
1; 800_450_0.7_0.1_104;955,8666;;;;;;;;;;;;
2; 800_450_0.7_0.1_104;912,15454;;;;;;;;;;;;
3; 800_450_0.7_0.1_104;870,32654;;;;;;;;;;;;
4; 800_450_0.7_0.1_104;878,07715;;;;;;;;;;;;
5; 800_450_0.7_0.1_104;937,01135;;;;;;;;;;;;
6; 800_450_0.7_0.1_104;859,649;;;;;;;;;;;;
7; 800_450_0.7_0.1_104;879,4272;;;;;;;;;;;;
8; 800_450_0.7_0.1_104;916,43823;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_104;996,3419;;859,649;996,3419;912,583096;;;;;;;;
0; 800_450_0.7_0.1_112;807,81696;;;;;;;;;;;;
1; 800_450_0.7_0.1_112;833,5092;;;;;;;;;;;;
2; 800_450_0.7_0.1_112;933,66766;;;;;;;;;;;;
3; 800_450_0.7_0.1_112;821,8524;;;;;;;;;;;;
4; 800_450_0.7_0.1_112;918,29596;;;;;;;;;;;;
5; 800_450_0.7_0.1_112;885,1414;;;;;;;;;;;;
6; 800_450_0.7_0.1_112;870,6322;;;;;;;;;;;;
7; 800_450_0.7_0.1_112;882,7706;;;;;;;;;;;;
8; 800_450_0.7_0.1_112;858,73175;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_112;925,2029;;807,81696;933,66766;873,762103;;;;;;;;
0; 800_450_0.7_0.1_120;901,80304;;;;;;;;;;;;
1; 800_450_0.7_0.1_120;832,5237;;;;;;;;;;;;
2; 800_450_0.7_0.1_120;856,9356;;;;;;;;;;;;
3; 800_450_0.7_0.1_120;873,34576;;;;;;;;;;;;
4; 800_450_0.7_0.1_120;832,45703;;;;;;;;;;;;
5; 800_450_0.7_0.1_120;837,79834;;;;;;;;;;;;
6; 800_450_0.7_0.1_120;877,9563;;;;;;;;;;;;
7; 800_450_0.7_0.1_120;858,7976;;;;;;;;;;;;
8; 800_450_0.7_0.1_120;857,9381;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_120;854,858;;832,45703;901,80304;858,441347;;;;;;;;
0; 800_450_0.7_0.1_128;817,25116;;;;;;;;;;;;
1; 800_450_0.7_0.1_128;837,2418;;;;;;;;;;;;
2; 800_450_0.7_0.1_128;911,83307;;;;;;;;;;;;
3; 800_450_0.7_0.1_128;886,0295;;;;;;;;;;;;
4; 800_450_0.7_0.1_128;857,0813;;;;;;;;;;;;
5; 800_450_0.7_0.1_128;845,3274;;;;;;;;;;;;
6; 800_450_0.7_0.1_128;917,4744;;;;;;;;;;;;
7; 800_450_0.7_0.1_128;815,1485;;;;;;;;;;;;
8; 800_450_0.7_0.1_128;905,3849;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_128;832,5237;;815,1485;917,4744;862,529573;;;;;;;;
