;Random;Greedy
197;1019,90027;958,9665
198;1017,99194;958,9665
199;1006,2007;958,9665
200;1005,1759;958,9665
201;1005,1759;958,96643
202;1005,1759;958,96643
203;1004,57007;958,96643
204;1004,57007;958,96643
205;1004,57007;958,96643
206;1004,57007;958,96643
207;1004,57007;958,96643
208;1004,57007;958,96643
209;1004,57007;958,96643
210;1004,57007;958,96643
211;1004,57007;958,96643
212;975,2886;958,96643
213;963,286;958,96643
214;963,286;958,96643
215;963,286;958,96643
216;963,286;958,96643
217;963,286;958,96643
218;963,286;958,96643
219;963,286;958,96643
220;961,61646;958,96643
221;961,61646;958,96643
222;961,61646;958,96643
223;961,61646;958,96643
224;961,61646;958,96643
225;961,61646;958,96643
226;951,229;958,96643
227;951,229;958,96643
228;951,229;958,96643
229;951,229;958,96643
230;951,229;958,96643
231;951,229;958,96643
232;951,229;958,96643
233;943,1874;958,96643
234;942,1438;958,96643
235;942,1438;958,96643
236;942,1438;958,96643
237;942,1438;958,96643
238;942,1438;958,96643
239;942,1438;958,96643
240;933,11584;958,96643
241;933,11584;958,96643
242;933,11584;958,96643
243;933,11584;958,96643
244;933,11584;958,96643
245;933,11584;958,96643
246;933,11584;958,96643
247;933,11584;958,96643
248;933,11584;958,96643
249;933,11584;958,96643
250;933,11584;958,96643
251;933,11584;958,96643
252;933,11584;958,96643
253;933,11584;958,96643
254;933,11584;958,96643
255;933,11584;958,96643
256;933,11584;958,96643
257;933,11584;958,96643
258;933,11584;958,96643
259;933,11584;958,96643
260;933,11584;958,96643
261;933,11584;958,96643
262;933,11584;958,96643
263;933,11584;958,96643
264;933,11584;958,96643
265;933,11584;958,96643
266;933,11584;958,96643
267;933,11584;958,96643
268;933,11584;958,96643
269;933,11584;958,96643
270;933,11584;958,96643
271;933,11584;958,96643
272;933,11584;958,96643
273;933,11584;958,96643
274;933,11584;958,96643
275;933,11584;958,96643
276;933,11584;958,96643
277;933,11584;958,96643
278;933,11584;958,96643
279;933,11584;958,96643
280;928,3888;958,96643
281;928,3888;958,96643
282;925,22864;958,96643
283;925,22864;958,96643
284;925,22864;958,96643
285;925,22864;958,96643
286;925,22864;958,96643
287;925,22864;958,96643
288;925,22864;958,96643
289;925,22864;958,96643
290;925,22864;958,96643
291;925,22864;958,96643
292;925,22864;958,96643
293;925,22864;958,96643
294;925,22864;958,96643
295;925,22864;958,96643
296;925,22864;958,96643
297;925,22864;958,96643
298;925,22864;958,96643
