2008,1263;;;;;
2086,1929;;;;;
2135,41;;;;;
2005,9965;;;;;
2115,2246;;;;;
2405,6455;;;;;
2272,6174;;;;;
1922,293;;;;;
2495,2585;;;;;
2108,8152;;;;;
2078,3242;;;;;
1824,952;;;;;
2111,543;;;;;
1917,8213;;;;;
2110,8914;;;;;
2133,6333;;;;;
2280,6792;;;;;
2256,7876;;;;;
2213,9128;;;;;
2303,698;;;;;
2023,5664;;;;;
2108,326;;;;;
2277,3684;;;;;
2120,1426;;;;;
2285,587;;;;;
2113,4272;;;;;
2103,5837;;;;;
2225,7786;;;;;
2523,581;;;;;
2404,707;;;;;
2188,4854;;;;;
2247,5261;;;;;
2387,901;;;;;
2226,3901;;;;;
2442,0435;;;;;
2119,5771;;;;;
1999,8724;;;;;
2364,0227;;;;;
2211,0334;;;;;
2172,6404;;;;;
2007,7059;;;;;
2445,5713;;;;;
2032,9359;;;;;
2355,5825;;;;;
2250,7368;;;;;
2371,7107;;;;;
2146,6636;;;;;
2167,473;;;;;
2165,1536;;;;;
2069,5864;;;;;
2015,1521;;;;;
2134,959;;;;;
2249,8662;;;;;
2034,2977;;;;;
2133,2202;;;;;
2014,0903;;;;;
2319,6643;;;;;
2224,7612;;;;;
2263,8125;;;;;
2347,7083;;;;;
2360,025;;;;;
2067,9727;;;;;
2282,9614;;;;;
2075,1863;;;;;
2205,7192;;;;;
2403,5662;;;;;
2074,1423;;;;;
2289,2764;;;;;
2334,0703;;;;;
2254,9304;;;;;
2103,9365;;;;;
2079,2258;;;;;
2127,8367;;;;;
2203,8582;;;;;
2212,0063;;;;;
2323,0178;;;;;
2163,229;;;;;
2242,5127;;;;;
2178,5054;;;;;
2049,98;;;;;
2322,1138;;;;;
2161,523;;;;;
2119,4019;;;;;
2299,524;;;;;
2164,352;;;;;
1990,6326;;;;;
1958,5576;;;;;
2026,1609;;;;;
2312,0874;;;;;
2430,8262;;;;;
2225,436;;;;;
2230,7102;;;;;
2155,7664;;;;;
2278,276;;;;;
2129,5466;;;;;
1932,2888;;;;;
2142,0715;;;;;
2093,2866;;;;;
2017,1708;;;;;
2056,6685;;;;;
2034,8728;;;;;
2386,5115;;;;;
2475,894;;;;;
2095,0254;;;;;
2024,985;;;;;
2256,2776;;;;;
2462,7031;;;;;
2046,2585;;;;;
2219,475;;;;;
2215,7568;;;;;
2187,5078;;;;;
2334,2676;;;;;
2100,8296;;;;;
2204,3633;;;;;
2287,9746;;;;;
2173,567;;;;;
2045,3789;;;;;
2154,6545;;;;;
2049,4033;;;;;
2290,621;;;;;
2289,582;;;;;
2180,4966;;;;;
2217,1206;;;;;
2187,1213;;;;;
2270,3853;;;;;
2193,4368;;;;;
2148,7036;;;;;
2283,4707;;;;;
2317,4248;;;;;
2017,9729;;;;;
2011,7273;;;;;
2219,4458;;;;;
2159,8704;;;;;
2278,8054;;;;;
2442,3345;;;;;
2252,266;;;;;
2191,3135;;;;;
1961,7992;;;;;
2150,482;;;;;
2322,59;;;;;
2149,0596;;;;;
1964,9309;;;;;
2324,0535;;;;;
2167,6323;;;;;
2259,0525;;;;;
2297,81;;;;;
2147,9175;;;;;
2403,944;;;;;
