6; 100_100_0.6500001_0.1_5;1073,1792;;;;;;;;;;;;
7; 100_100_0.6500001_0.1_5;991,8703;;;;;;;;;;;;
8; 100_100_0.6500001_0.1_5;902,1906;;Best;Worst;Average;;;;;;;;
9; 100_100_0.6500001_0.1_5;967,2214;;880,6764;1123,035;986,88323;;;;;;;;
0; 100_100_0.7000001_0.1_5;996,7321;;;;;;;;;;;;
1; 100_100_0.7000001_0.1_5;957,00946;;;;;;;;;;;;
2; 100_100_0.7000001_0.1_5;1026,6263;;;;;;;;;;;;
3; 100_100_0.7000001_0.1_5;957,7859;;;;;;;;;;;;
4; 100_100_0.7000001_0.1_5;995,7726;;;;;;;;;;;;
5; 100_100_0.7000001_0.1_5;1053,3628;;;;;;;;;;;;
6; 100_100_0.7000001_0.1_5;1110,2483;;;;;;;;;;;;
7; 100_100_0.7000001_0.1_5;936,6615;;;;;;;;;;;;
8; 100_100_0.7000001_0.1_5;962,96063;;Best;Worst;Average;;;;;;;;
9; 100_100_0.7000001_0.1_5;979,3222;;936,6615;1110,2483;997,648179;;;;;;;;
0; 100_100_0.7500001_0.1_5;996,118;;;;;;;;;;;;
1; 100_100_0.7500001_0.1_5;898,33905;;;;;;;;;;;;
2; 100_100_0.7500001_0.1_5;1107,1499;;;;;;;;;;;;
3; 100_100_0.7500001_0.1_5;1112,42;;;;;;;;;;;;
4; 100_100_0.7500001_0.1_5;972,425;;;;;;;;;;;;
5; 100_100_0.7500001_0.1_5;986,60657;;;;;;;;;;;;
6; 100_100_0.7500001_0.1_5;1149,6501;;;;;;;;;;;;
7; 100_100_0.7500001_0.1_5;1039,6837;;;;;;;;;;;;
8; 100_100_0.7500001_0.1_5;1071,7153;;Best;Worst;Average;;;;;;;;
9; 100_100_0.7500001_0.1_5;976,21094;;898,33905;1149,6501;1031,031856;;;;;;;;
0; 100_100_0.80000013_0.1_5;1093,552;;;;;;;;;;;;
1; 100_100_0.80000013_0.1_5;943,99335;;;;;;;;;;;;
2; 100_100_0.80000013_0.1_5;1078,6941;;;;;;;;;;;;
3; 100_100_0.80000013_0.1_5;917,71716;;;;;;;;;;;;
4; 100_100_0.80000013_0.1_5;902,2234;;;;;;;;;;;;
5; 100_100_0.80000013_0.1_5;1030,3497;;;;;;;;;;;;
6; 100_100_0.80000013_0.1_5;962,6901;;;;;;;;;;;;
7; 100_100_0.80000013_0.1_5;1003,0421;;;;;;;;;;;;
8; 100_100_0.80000013_0.1_5;939,37305;;Best;Worst;Average;;;;;;;;
9; 100_100_0.80000013_0.1_5;1059,6825;;902,2234;1093,552;993,131746;;;;;;;;
0; 100_100_0.85000014_0.1_5;1002,3389;;;;;;;;;;;;
1; 100_100_0.85000014_0.1_5;1062,613;;;;;;;;;;;;
2; 100_100_0.85000014_0.1_5;935,53217;;;;;;;;;;;;
3; 100_100_0.85000014_0.1_5;980,8594;;;;;;;;;;;;
4; 100_100_0.85000014_0.1_5;1039,7708;;;;;;;;;;;;
5; 100_100_0.85000014_0.1_5;1031,1862;;;;;;;;;;;;
6; 100_100_0.85000014_0.1_5;1146,7723;;;;;;;;;;;;
7; 100_100_0.85000014_0.1_5;1047,2567;;;;;;;;;;;;
8; 100_100_0.85000014_0.1_5;1025,7096;;Best;Worst;Average;;;;;;;;
9; 100_100_0.85000014_0.1_5;1063,1537;;935,53217;1146,7723;1033,519277;;;;;;;;
0; 100_100_0.90000015_0.1_5;1067,8595;;;;;;;;;;;;
1; 100_100_0.90000015_0.1_5;1084,5659;;;;;;;;;;;;
2; 100_100_0.90000015_0.1_5;1060,1951;;;;;;;;;;;;
3; 100_100_0.90000015_0.1_5;959,339;;;;;;;;;;;;
4; 100_100_0.90000015_0.1_5;960,7327;;;;;;;;;;;;
5; 100_100_0.90000015_0.1_5;1124,03;;;;;;;;;;;;
6; 100_100_0.90000015_0.1_5;892,34674;;;;;;;;;;;;
7; 100_100_0.90000015_0.1_5;951,4096;;;;;;;;;;;;
8; 100_100_0.90000015_0.1_5;1003,3153;;Best;Worst;Average;;;;;;;;
9; 100_100_0.90000015_0.1_5;971,5034;;892,34674;1124,03;1007,529724;;;;;;;;
0; 100_100_0.95000017_0.1_5;1043,389;;;;;;;;;;;;
1; 100_100_0.95000017_0.1_5;955,4695;;;;;;;;;;;;
2; 100_100_0.95000017_0.1_5;965,8545;;;;;;;;;;;;
3; 100_100_0.95000017_0.1_5;967,6479;;;;;;;;;;;;
4; 100_100_0.95000017_0.1_5;1060,1772;;;;;;;;;;;;
5; 100_100_0.95000017_0.1_5;905,2813;;;;;;;;;;;;
6; 100_100_0.95000017_0.1_5;1080,147;;;;;;;;;;;;
7; 100_100_0.95000017_0.1_5;993,1768;;;;;;;;;;;;
8; 100_100_0.95000017_0.1_5;1056,898;;Best;Worst;Average;;;;;;;;
9; 100_100_0.95000017_0.1_5;929,4492;;905,2813;1080,147;995,74904;;;;;;;;
0; 100_100_1.0000001_0.1_5;944,95624;;;;;;;;;;;;
1; 100_100_1.0000001_0.1_5;973,96826;;;;;;;;;;;;
2; 100_100_1.0000001_0.1_5;968,93475;;;;;;;;;;;;
3; 100_100_1.0000001_0.1_5;936,9531;;;;;;;;;;;;
4; 100_100_1.0000001_0.1_5;993,97217;;;;;;;;;;;;
5; 100_100_1.0000001_0.1_5;1091,9279;;;;;;;;;;;;
6; 100_100_1.0000001_0.1_5;929,2432;;;;;;;;;;;;
7; 100_100_1.0000001_0.1_5;1059,0397;;;;;;;;;;;;
8; 100_100_1.0000001_0.1_5;847,7695;;Best;Worst;Average;;;;;;;;
9; 100_100_1.0000001_0.1_5;1028,6166;;847,7695;1091,9279;977,538142;;;;;;;;
