0; 10000_54_29;1203,0957;;;;;;;;;;;;;;
1; 10000_54_29;1222,4916;;;;;;;;;;;;;;
2; 10000_54_29;1218,6748;;;;;;;;;;;;;;
3; 10000_54_29;1204,6505;;;;;;;;;;;;;;
4; 10000_54_29;1202,2664;;;;;;;;;;;;;;
5; 10000_54_29;1195,5001;;;;;;;;;;;;;;
6; 10000_54_29;1200,758;;;;;;;;;;;;;;
7; 10000_54_29;1226,5582;;;;;;;;;;;;;;
8; 10000_54_29;1195,2295;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_29;1229,5701;;1195,2295;1229,5701;1209,87949;12,40255704;;;;;;;;;
0; 10000_54_30;1237,0767;;;;;;;;;;;;;;
1; 10000_54_30;1192,3303;;;;;;;;;;;;;;
2; 10000_54_30;1205,1006;;;;;;;;;;;;;;
3; 10000_54_30;1179,9991;;;;;;;;;;;;;;
4; 10000_54_30;1202,807;;;;;;;;;;;;;;
5; 10000_54_30;1198,9161;;;;;;;;;;;;;;
6; 10000_54_30;1207,7834;;;;;;;;;;;;;;
7; 10000_54_30;1194,8253;;;;;;;;;;;;;;
8; 10000_54_30;1191,7018;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_30;1180,0107;;1179,9991;1237,0767;1199,0551;15,54179817;;;;;;;;;
0; 10000_54_31;1216,5076;;;;;;;;;;;;;;
1; 10000_54_31;1192,7269;;;;;;;;;;;;;;
2; 10000_54_31;1197,5922;;;;;;;;;;;;;;
3; 10000_54_31;1190,9668;;;;;;;;;;;;;;
4; 10000_54_31;1222,1442;;;;;;;;;;;;;;
5; 10000_54_31;1194,0784;;;;;;;;;;;;;;
6; 10000_54_31;1184,464;;;;;;;;;;;;;;
7; 10000_54_31;1187,0336;;;;;;;;;;;;;;
8; 10000_54_31;1195,823;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_31;1181,7737;;1181,7737;1222,1442;1196,31104;12,49512662;;;;;;;;;
0; 10000_54_32;1211,8551;;;;;;;;;;;;;;
1; 10000_54_32;1190,9424;;;;;;;;;;;;;;
2; 10000_54_32;1196,6915;;;;;;;;;;;;;;
3; 10000_54_32;1198,8373;;;;;;;;;;;;;;
4; 10000_54_32;1195,7468;;;;;;;;;;;;;;
5; 10000_54_32;1201,9165;;;;;;;;;;;;;;
6; 10000_54_32;1222,9725;;;;;;;;;;;;;;
7; 10000_54_32;1206,8073;;;;;;;;;;;;;;
8; 10000_54_32;1197,6714;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_32;1201,1511;;1190,9424;1222,9725;1202,45919;8,814706938;;;;;;;;;
0; 10000_54_33;1195,2281;;;;;;;;;;;;;;
1; 10000_54_33;1209,7357;;;;;;;;;;;;;;
2; 10000_54_33;1187,902;;;;;;;;;;;;;;
3; 10000_54_33;1183,4698;;;;;;;;;;;;;;
4; 10000_54_33;1182,8696;;;;;;;;;;;;;;
5; 10000_54_33;1201,4991;;;;;;;;;;;;;;
6; 10000_54_33;1180,6854;;;;;;;;;;;;;;
7; 10000_54_33;1212,8419;;;;;;;;;;;;;;
8; 10000_54_33;1212,089;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_33;1186,1292;;1180,6854;1212,8419;1195,24498;12,1789611;;;;;;;;;
0; 10000_54_34;1196,0283;;;;;;;;;;;;;;
1; 10000_54_34;1194,4996;;;;;;;;;;;;;;
2; 10000_54_34;1200,4308;;;;;;;;;;;;;;
3; 10000_54_34;1217,9338;;;;;;;;;;;;;;
4; 10000_54_34;1221,4384;;;;;;;;;;;;;;
5; 10000_54_34;1212,6763;;;;;;;;;;;;;;
6; 10000_54_34;1197,3055;;;;;;;;;;;;;;
7; 10000_54_34;1204,507;;;;;;;;;;;;;;
8; 10000_54_34;1192,8431;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_34;1230,8555;;1192,8431;1230,8555;1206,85183;12,44793108;;;;;;;;;
0; 10000_54_35;1215,471;;;;;;;;;;;;;;
1; 10000_54_35;1193,452;;;;;;;;;;;;;;
2; 10000_54_35;1223,8876;;;;;;;;;;;;;;
3; 10000_54_35;1196,2944;;;;;;;;;;;;;;
4; 10000_54_35;1227,658;;;;;;;;;;;;;;
5; 10000_54_35;1184,0322;;;;;;;;;;;;;;
