2; 100000_5_1000.0_1.0_0.9999102;811,4568;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9999102;803,311;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9999102;810,5735;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9999102;802,6007;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9999102;797,87177;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9999102;803,4315;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9999102;804,0493;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9999102;797,45123;;797,45123;811,4568;803,813735;;;;;
0; 100000_5_1000.0_1.0_0.9999202;828,70013;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9999202;803,311;;;;;;;;;
2; 100000_5_1000.0_1.0_0.9999202;797,87177;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9999202;803,311;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9999202;832,5237;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9999202;804,56494;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9999202;809,7721;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9999202;805,30634;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9999202;837,2939;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9999202;808,42316;;797,87177;837,2939;813,107804;;;;;
0; 100000_5_1000.0_1.0_0.9999302;803,31104;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9999302;828,70013;;;;;;;;;
2; 100000_5_1000.0_1.0_0.9999302;803,311;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9999302;803,4315;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9999302;803,311;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9999302;830,9456;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9999302;829,4114;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9999302;801,8739;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9999302;818,64777;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9999302;829,4113;;801,8739;830,9456;815,235464;;;;;
0; 100000_5_1000.0_1.0_0.9999402;803,4315;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9999402;797,45123;;;;;;;;;
2; 100000_5_1000.0_1.0_0.9999402;809,2931;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9999402;803,311;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9999402;803,311;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9999402;801,99445;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9999402;803,311;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9999402;831,4116;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9999402;830,1231;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9999402;811,79535;;797,45123;831,4116;809,543333;;;;;
0; 100000_5_1000.0_1.0_0.99995023;812,0124;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99995023;820,3079;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99995023;809,30176;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99995023;817,25867;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99995023;798,9433;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99995023;830,8906;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99995023;822,8267;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99995023;808,8468;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99995023;816,16284;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99995023;808,5645;;798,9433;830,8906;814,511547;;;;;
0; 100000_5_1000.0_1.0_0.99996024;851,42395;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99996024;857,6657;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99996024;898,51495;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99996024;883,8449;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99996024;870,92377;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99996024;880,3898;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99996024;878,08386;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99996024;880,75085;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99996024;860,5543;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99996024;841,96967;;841,96967;898,51495;870,412175;;;;;
0; 100000_5_1000.0_1.0_0.99997026;996,62286;;;;;;;;;
1; 100000_5_1000.0_1.0_0.99997026;992,76355;;;;;;;;;
2; 100000_5_1000.0_1.0_0.99997026;974,06635;;;;;;;;;
3; 100000_5_1000.0_1.0_0.99997026;976,3746;;;;;;;;;
4; 100000_5_1000.0_1.0_0.99997026;955,0225;;;;;;;;;
5; 100000_5_1000.0_1.0_0.99997026;1017,8689;;;;;;;;;
6; 100000_5_1000.0_1.0_0.99997026;968,8285;;;;;;;;;
7; 100000_5_1000.0_1.0_0.99997026;959,393;;;;;;;;;
8; 100000_5_1000.0_1.0_0.99997026;973,5729;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99997026;937,4218;;937,4218;1017,8689;975,193496;;;;;
0; 100000_5_1000.0_1.0_0.9999803;1029,5012;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9999803;1001,8631;;;;;;;;;
2; 100000_5_1000.0_1.0_0.9999803;989,2854;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9999803;1003,18646;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9999803;1006,9754;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9999803;989,9288;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9999803;1007,2552;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9999803;995,4672;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9999803;1030,2435;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.9999803;1037,1982;;989,2854;1037,1982;1009,090446;;;;;
