1; 450_950_0.7_0.1_315;1312,5623;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_315;1225,07;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_315;1183,6969;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_315;1282,7574;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_315;1236,601;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_315;1241,4392;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_315;1310,3798;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_315;1219,604;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_315;1216,1826;;1183,6969;1332,3422;1256,06354;47,31103617;;;;;;;;;
0; 450_950_0.7_0.1_337;1207,8821;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_337;1297,1992;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_337;1250,5808;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_337;1228,8127;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_337;1244,0787;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_337;1179,8275;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_337;1302,545;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_337;1183,4403;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_337;1186,7408;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_337;1181,786;;1179,8275;1302,545;1226,28931;44,31054187;;;;;;;;;
0; 450_950_0.7_0.1_360;1215,3368;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_360;1231,7563;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_360;1280,2418;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_360;1255,7776;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_360;1297,4613;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_360;1270,3619;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_360;1227,6285;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_360;1270,1611;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_360;1223,7695;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_360;1214,5336;;1214,5336;1297,4613;1248,70284;28,25868275;;;;;;;;;
0; 450_950_0.7_0.1_382;1209,7904;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_382;1246,6838;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_382;1300,8119;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_382;1274,2632;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_382;1242,102;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_382;1269,2214;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_382;1252,4192;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_382;1234,5127;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_382;1226,6232;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_382;1344,731;;1209,7904;1344,731;1260,11588;37,38052653;;;;;;;;;
0; 450_950_0.7_0.1_405;1345,4885;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_405;1271,3735;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_405;1233,9242;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_405;1303,4729;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_405;1183,2753;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_405;1208,609;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_405;1256,3555;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_405;1273,3335;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_405;1281,857;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_405;1399,9259;;1183,2753;1399,9259;1275,76153;60,24864085;;;;;;;;;
0; 450_950_0.7_0.1_427;1195,1837;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_427;1222,9531;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_427;1274,6422;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_427;1367,1958;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_427;1202,9211;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_427;1246,8717;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_427;1284,0961;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_427;1219,8054;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_427;1214,1742;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_427;1258,2843;;1195,1837;1367,1958;1248,61276;48,69475877;;;;;;;;;
0; 450_950_0.7_0.1_450;1193,9711;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_450;1262,478;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_450;1265,5479;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_450;1288,9078;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_450;1307,4319;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_450;1210,031;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_450;1207,2988;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_450;1283,1292;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_450;1261,3682;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_450;1285,4137;;1193,9711;1307,4319;1256,55776;37,17619755;;;;;;;;;
