7; 700_100_0.7_0.1_5;844,2129;;;;;;;;;;
8; 700_100_0.7_0.1_5;845,1714;;Best;Worst;Average;;;;;;
9; 700_100_0.7_0.1_5;837,3199;;837,3199;1407,422;945,289222;;;;;;
0; 750_100_0.7_0.1_5;1898,6246;;;;;;;;;;
1; 750_100_0.7_0.1_5;823,9524;;;;;;;;;;
2; 750_100_0.7_0.1_5;955,9116;;;;;;;;;;
3; 750_100_0.7_0.1_5;886,613;;;;;;;;;;
4; 750_100_0.7_0.1_5;840,795;;;;;;;;;;
5; 750_100_0.7_0.1_5;856,14954;;;;;;;;;;
6; 750_100_0.7_0.1_5;893,3858;;;;;;;;;;
7; 750_100_0.7_0.1_5;935,6885;;;;;;;;;;
8; 750_100_0.7_0.1_5;1580,4216;;Best;Worst;Average;;;;;;
9; 750_100_0.7_0.1_5;900,36804;;823,9524;1898,6246;1057,191008;;;;;;
0; 800_100_0.7_0.1_5;829,8987;;;;;;;;;;
1; 800_100_0.7_0.1_5;851,2643;;;;;;;;;;
2; 800_100_0.7_0.1_5;894,0441;;;;;;;;;;
3; 800_100_0.7_0.1_5;850,9068;;;;;;;;;;
4; 800_100_0.7_0.1_5;954,5414;;;;;;;;;;
5; 800_100_0.7_0.1_5;837,5027;;;;;;;;;;
6; 800_100_0.7_0.1_5;1910,1285;;;;;;;;;;
7; 800_100_0.7_0.1_5;904,82025;;;;;;;;;;
8; 800_100_0.7_0.1_5;872,8051;;Best;Worst;Average;;;;;;
9; 800_100_0.7_0.1_5;899,8888;;829,8987;1910,1285;980,580065;;;;;;
0; 850_100_0.7_0.1_5;859,44684;;;;;;;;;;
1; 850_100_0.7_0.1_5;1964,5587;;;;;;;;;;
2; 850_100_0.7_0.1_5;836,06305;;;;;;;;;;
3; 850_100_0.7_0.1_5;846,8328;;;;;;;;;;
4; 850_100_0.7_0.1_5;840,94403;;;;;;;;;;
5; 850_100_0.7_0.1_5;830,6181;;;;;;;;;;
6; 850_100_0.7_0.1_5;863,2291;;;;;;;;;;
7; 850_100_0.7_0.1_5;855,8766;;;;;;;;;;
8; 850_100_0.7_0.1_5;842,35254;;Best;Worst;Average;;;;;;
9; 850_100_0.7_0.1_5;982,39844;;830,6181;1964,5587;972,23202;;;;;;
0; 900_100_0.7_0.1_5;868,93146;;;;;;;;;;
1; 900_100_0.7_0.1_5;1499,0165;;;;;;;;;;
2; 900_100_0.7_0.1_5;870,10236;;;;;;;;;;
3; 900_100_0.7_0.1_5;826,82526;;;;;;;;;;
4; 900_100_0.7_0.1_5;832,8249;;;;;;;;;;
5; 900_100_0.7_0.1_5;901,026;;;;;;;;;;
6; 900_100_0.7_0.1_5;836,402;;;;;;;;;;
7; 900_100_0.7_0.1_5;841,3784;;;;;;;;;;
8; 900_100_0.7_0.1_5;916,88556;;Best;Worst;Average;;;;;;
9; 900_100_0.7_0.1_5;982,0652;;826,82526;1499,0165;937,545764;;;;;;
0; 950_100_0.7_0.1_5;866,29065;;;;;;;;;;
1; 950_100_0.7_0.1_5;1780,736;;;;;;;;;;
2; 950_100_0.7_0.1_5;857,80707;;;;;;;;;;
3; 950_100_0.7_0.1_5;856,35254;;;;;;;;;;
4; 950_100_0.7_0.1_5;918,9596;;;;;;;;;;
5; 950_100_0.7_0.1_5;871,36163;;;;;;;;;;
6; 950_100_0.7_0.1_5;862,87854;;;;;;;;;;
7; 950_100_0.7_0.1_5;840,1815;;;;;;;;;;
8; 950_100_0.7_0.1_5;803,311;;Best;Worst;Average;;;;;;
9; 950_100_0.7_0.1_5;934,8054;;803,311;1780,736;959,268393;;;;;;
0; 1000_100_0.7_0.1_5;1919,6963;;;;;;;;;;
1; 1000_100_0.7_0.1_5;930,8794;;;;;;;;;;
2; 1000_100_0.7_0.1_5;1450,1405;;;;;;;;;;
3; 1000_100_0.7_0.1_5;830,1231;;;;;;;;;;
4; 1000_100_0.7_0.1_5;898,5499;;;;;;;;;;
5; 1000_100_0.7_0.1_5;830,27905;;;;;;;;;;
6; 1000_100_0.7_0.1_5;906,06665;;;;;;;;;;
7; 1000_100_0.7_0.1_5;880,64197;;;;;;;;;;
8; 1000_100_0.7_0.1_5;842,6182;;Best;Worst;Average;;;;;;
9; 1000_100_0.7_0.1_5;848,5068;;830,1231;1919,6963;1033,750187;;;;;;
