;Current best;Global best
104;902,8784;902,8784
105;902,8784;902,8784
106;909,9261;902,8784
107;919,24207;902,8784
108;902,8784;902,8784
109;945,7236;902,8784
110;937,5044;902,8784
111;952,5476;902,8784
112;914,56635;902,8784
113;902,8784;902,8784
114;902,8784;902,8784
115;902,8784;902,8784
116;902,8784;902,8784
117;907,58374;902,8784
118;920,3402;902,8784
119;922,24194;902,8784
120;902,8784;902,8784
121;886,9824;886,9824
122;886,9824;886,9824
123;886,9824;886,9824
124;886,9824;886,9824
125;911,5034;886,9824
126;886,9824;886,9824
127;886,9824;886,9824
128;886,9824;886,9824
129;1091,4689;886,9824
130;932,0879;886,9824
131;953,5112;886,9824
132;886,9824;886,9824
133;929,11835;886,9824
134;886,9824;886,9824
135;886,9824;886,9824
136;900,6011;886,9824
137;886,9824;886,9824
138;886,9824;886,9824
139;886,9824;886,9824
140;932,0879;886,9824
141;920,4841;886,9824
142;886,9824;886,9824
143;930,82416;886,9824
144;886,9824;886,9824
145;886,9824;886,9824
146;881,4215;881,4215
147;881,4215;881,4215
148;881,4215;881,4215
149;875,2415;875,2415
150;875,2415;875,2415
151;880,9031;875,2415
152;880,50543;875,2415
153;875,2415;875,2415
154;875,2415;875,2415
155;882,28925;875,2415
156;946,1881;875,2415
157;879,9468;875,2415
158;875,24146;875,24146
159;875,24146;875,24146
160;875,24146;875,24146
161;875,24146;875,24146
162;875,24146;875,24146
163;919,0832;875,24146
164;875,24146;875,24146
165;888,01776;875,24146
166;894,48663;875,24146
167;918,2563;875,24146
168;865,38715;865,38715
169;966,5449;865,38715
170;893,20374;865,38715
171;928,2548;865,38715
172;865,38715;865,38715
173;869,97876;865,38715
174;869,66406;865,38715
175;865,38715;865,38715
176;912,92566;865,38715
177;865,3871;865,3871
178;865,3871;865,3871
179;865,3871;865,3871
180;901,147;865,3871
181;870,651;865,3871
182;896,9611;865,3871
183;865,3871;865,3871
184;881,75073;865,3871
185;865,3871;865,3871
186;870,74585;865,3871
187;865,3871;865,3871
188;865,3871;865,3871
189;873,84985;865,3871
190;865,3871;865,3871
191;938,4437;865,3871
192;865,3871;865,3871
193;878,16345;865,3871
194;941,7654;865,3871
195;865,3871;865,3871
196;865,3871;865,3871
197;879,00574;865,3871
198;866,2252;865,3871
199;877,075;865,3871
200;865,3871;865,3871
201;934,7803;865,3871
202;865,3871;865,3871
203;865,3871;865,3871
204;933,54156;865,3871
205;942,0481;865,3871
206;865,3871;865,3871
207;865,3871;865,3871
208;865,3871;865,3871
209;865,3871;865,3871
210;865,3871;865,3871
211;865,3871;865,3871
212;900,44867;865,3871
213;865,3871;865,3871
214;865,3871;865,3871
215;865,3871;865,3871
216;867,04816;865,3871
217;870,14;865,3871
218;865,3871;865,3871
219;892,987;865,3871
220;869,664;865,3871
221;865,3871;865,3871
222;865,3871;865,3871
223;865,3871;865,3871
224;865,3871;865,3871
225;897,5469;865,3871
226;865,3871;865,3871
227;865,3871;865,3871
228;865,3871;865,3871
229;865,3871;865,3871
230;897,21387;865,3871
231;873,84985;865,3871
232;873,84985;865,3871
233;865,3871;865,3871
234;873,84985;865,3871
235;865,3871;865,3871
236;865,3871;865,3871
237;865,3871;865,3871
238;865,3871;865,3871
239;865,3871;865,3871
240;865,3871;865,3871
241;921,9874;865,3871
242;865,3871;865,3871
243;886,83636;865,3871
244;892,84595;865,3871
245;897,21387;865,3871
246;865,3871;865,3871
247;968,2015;865,3871
248;1012,6315;865,3871
249;865,3871;865,3871
250;865,3871;865,3871
251;912,52466;865,3871
252;936,33374;865,3871
253;865,3871;865,3871
254;865,3871;865,3871
255;865,3871;865,3871
256;839,9706;839,9706
257;841,4645;839,9706
258;906,0435;839,9706
259;839,9706;839,9706
