2; 100_100_0.85000014_0.1_5;907,44196;;;;;;;;;;;
3; 100_100_0.85000014_0.1_5;959,9511;;;;;;;;;;;
4; 100_100_0.85000014_0.1_5;875,3854;;;;;;;;;;;
5; 100_100_0.85000014_0.1_5;961,5301;;;;;;;;;;;
6; 100_100_0.85000014_0.1_5;1000,1242;;;;;;;;;;;
7; 100_100_0.85000014_0.1_5;984,7799;;;;;;;;;;;
8; 100_100_0.85000014_0.1_5;919,36615;;Best;Worst;Average;;;;;;;
9; 100_100_0.85000014_0.1_5;1003,24133;;875,3854;1024,0555;962,562164;;;;;;;
0; 100_100_0.90000015_0.1_5;1004,207;;;;;;;;;;;
1; 100_100_0.90000015_0.1_5;882,3719;;;;;;;;;;;
2; 100_100_0.90000015_0.1_5;1076,9822;;;;;;;;;;;
3; 100_100_0.90000015_0.1_5;1001,8645;;;;;;;;;;;
4; 100_100_0.90000015_0.1_5;967,4217;;;;;;;;;;;
5; 100_100_0.90000015_0.1_5;1014,06476;;;;;;;;;;;
6; 100_100_0.90000015_0.1_5;1012,38354;;;;;;;;;;;
7; 100_100_0.90000015_0.1_5;909,43463;;;;;;;;;;;
8; 100_100_0.90000015_0.1_5;950,801;;Best;Worst;Average;;;;;;;
9; 100_100_0.90000015_0.1_5;939,8197;;882,3719;1076,9822;975,935093;;;;;;;
0; 100_100_0.95000017_0.1_5;923,0414;;;;;;;;;;;
1; 100_100_0.95000017_0.1_5;896,2475;;;;;;;;;;;
2; 100_100_0.95000017_0.1_5;1033,443;;;;;;;;;;;
3; 100_100_0.95000017_0.1_5;1050,3394;;;;;;;;;;;
4; 100_100_0.95000017_0.1_5;940,86487;;;;;;;;;;;
5; 100_100_0.95000017_0.1_5;1037,9476;;;;;;;;;;;
6; 100_100_0.95000017_0.1_5;1107,3856;;;;;;;;;;;
7; 100_100_0.95000017_0.1_5;997,81805;;;;;;;;;;;
8; 100_100_0.95000017_0.1_5;997,5118;;Best;Worst;Average;;;;;;;
9; 100_100_0.95000017_0.1_5;1072,9883;;896,2475;1107,3856;1005,758752;;;;;;;
0; 100_100_1.0000001_0.1_5;1033,9218;;;;;;;;;;;
1; 100_100_1.0000001_0.1_5;1010,69116;;;;;;;;;;;
2; 100_100_1.0000001_0.1_5;1022,61127;;;;;;;;;;;
3; 100_100_1.0000001_0.1_5;902,88605;;;;;;;;;;;
4; 100_100_1.0000001_0.1_5;968,4465;;;;;;;;;;;
5; 100_100_1.0000001_0.1_5;905,43677;;;;;;;;;;;
6; 100_100_1.0000001_0.1_5;875,0435;;;;;;;;;;;
7; 100_100_1.0000001_0.1_5;1053,3224;;;;;;;;;;;
8; 100_100_1.0000001_0.1_5;938,45795;;Best;Worst;Average;;;;;;;
9; 100_100_1.0000001_0.1_5;953,7964;;875,0435;1053,3224;966,46138;;;;;;;
