4; 100_100_0.7_0.1_12;963,9891;;;;;;;;;;
5; 100_100_0.7_0.1_12;913,941;;;;;;;;;;
6; 100_100_0.7_0.1_12;958,31964;;;;;;;;;;
7; 100_100_0.7_0.1_12;1045,4739;;;;;;;;;;
8; 100_100_0.7_0.1_12;1078,7476;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_12;1051,6631;;913,941;1078,7476;999,398978;;;;;;
0; 100_100_0.7_0.1_13;959,39386;;;;;;;;;;
1; 100_100_0.7_0.1_13;1102,1808;;;;;;;;;;
2; 100_100_0.7_0.1_13;1003,58826;;;;;;;;;;
3; 100_100_0.7_0.1_13;1030,5874;;;;;;;;;;
4; 100_100_0.7_0.1_13;936,756;;;;;;;;;;
5; 100_100_0.7_0.1_13;931,3417;;;;;;;;;;
6; 100_100_0.7_0.1_13;1030,1213;;;;;;;;;;
7; 100_100_0.7_0.1_13;951,5179;;;;;;;;;;
8; 100_100_0.7_0.1_13;1127,824;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_13;890,29083;;890,29083;1127,824;996,360205;;;;;;
0; 100_100_0.7_0.1_14;909,3957;;;;;;;;;;
1; 100_100_0.7_0.1_14;996,27264;;;;;;;;;;
2; 100_100_0.7_0.1_14;1058,2072;;;;;;;;;;
3; 100_100_0.7_0.1_14;1012,0408;;;;;;;;;;
4; 100_100_0.7_0.1_14;1157,7029;;;;;;;;;;
5; 100_100_0.7_0.1_14;899,8302;;;;;;;;;;
6; 100_100_0.7_0.1_14;1061,9662;;;;;;;;;;
7; 100_100_0.7_0.1_14;982,9563;;;;;;;;;;
8; 100_100_0.7_0.1_14;1145,295;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_14;953,4343;;899,8302;1157,7029;1017,710124;;;;;;
0; 100_100_0.7_0.1_15;898,93176;;;;;;;;;;
1; 100_100_0.7_0.1_15;946,09204;;;;;;;;;;
2; 100_100_0.7_0.1_15;1034,6919;;;;;;;;;;
3; 100_100_0.7_0.1_15;985,9562;;;;;;;;;;
4; 100_100_0.7_0.1_15;872,93024;;;;;;;;;;
