;Global best - Swap;Global best - inversion
111;925,442;952,07404
112;925,442;952,07404
113;925,442;952,07404
114;925,442;952,07404
115;925,442;952,07404
116;925,442;952,07404
117;925,442;952,07404
118;925,442;952,07404
119;925,442;952,07404
120;925,442;952,07404
121;925,442;952,07404
122;925,442;952,07404
123;925,442;952,07404
124;925,442;952,07404
125;925,442;952,07404
126;925,442;952,07404
127;925,442;952,07404
128;925,442;952,07404
129;925,442;952,07404
130;925,442;952,07404
131;925,442;952,07404
132;925,442;939,2607
133;925,442;939,2607
134;925,442;939,2607
135;925,442;939,2607
136;925,442;939,2607
137;925,442;939,2607
138;925,442;939,2607
139;925,442;938,81683
140;925,442;938,81683
141;925,442;938,81683
142;925,442;938,81683
143;925,442;938,81683
144;925,442;938,81683
145;925,442;938,81683
146;925,442;938,81683
147;925,442;938,81683
148;925,442;938,81683
149;925,442;938,81683
150;925,442;938,81683
151;925,442;938,81683
152;925,442;938,81683
153;925,442;933,2984
154;925,442;933,2984
155;925,442;933,2984
156;925,442;933,2984
157;925,442;933,2984
158;925,442;933,2984
159;925,442;933,2984
160;925,442;933,2984
161;925,442;933,2984
162;925,442;933,2984
163;925,442;933,2984
164;925,442;933,2984
165;925,442;933,2984
166;925,442;933,2984
167;925,442;933,2984
168;925,442;933,2984
169;925,442;933,2984
170;925,442;933,2984
171;925,442;933,2984
172;925,442;933,2984
173;925,442;933,2984
174;925,442;933,2984
175;925,442;933,2984
176;925,442;933,2984
177;925,442;933,2984
178;925,442;933,2984
179;925,442;933,2984
180;925,442;933,2984
181;925,442;933,2984
182;925,442;933,2984
183;925,442;933,2984
184;925,442;933,2984
185;925,442;933,2984
186;925,442;933,2984
187;925,442;933,2984
188;925,442;933,2984
189;925,442;933,2984
190;925,442;933,2984
191;925,442;933,2984
192;925,442;933,2984
193;925,442;933,2984
194;925,442;933,2984
195;925,442;933,2984
196;925,442;933,2984
197;925,442;933,2984
198;925,442;933,2984
199;925,442;933,2984
200;925,442;933,2984
201;925,442;933,2984
202;925,442;933,2984
203;925,442;933,2984
204;925,442;933,2984
205;925,442;933,2984
206;925,442;933,2984
207;925,442;933,2984
208;925,442;933,2984
209;925,442;933,2984
210;925,442;933,2984
211;925,442;933,2984
212;925,442;933,2984
213;925,442;933,2984
214;925,442;933,2984
215;925,442;933,2984
216;925,442;933,2984
217;925,442;933,2984
218;925,442;933,2984
219;925,442;933,2984
220;925,442;933,2984
221;925,442;933,2984
222;925,442;933,2984
223;925,442;933,2984
224;925,442;933,2984
225;925,442;933,2984
226;925,442;933,2984
227;925,442;933,2984
228;925,442;933,2984
229;925,442;933,2984
230;925,442;933,2984
231;925,442;933,2984
232;925,442;933,2984
233;925,442;933,2984
234;925,442;933,2984
235;925,442;933,2984
236;925,442;933,2984
237;925,442;933,2984
238;925,442;933,2984
239;925,442;933,2984
240;925,442;933,2984
241;925,442;933,2984
242;925,442;933,2984
243;925,442;933,2984
244;925,442;933,2984
245;925,442;933,2984
246;925,442;933,2984
247;925,442;933,2984
248;925,442;933,2984
249;925,442;933,2984
250;925,442;933,2984
251;925,442;933,2984
252;925,442;933,2984
253;925,442;933,2984
254;925,442;933,2984
255;925,442;933,2984
256;925,442;933,2984
257;925,442;933,2984
258;925,442;933,2984
259;925,442;933,2984
260;925,442;933,2984
261;925,442;933,2984
262;925,442;933,2984
263;925,442;933,2984
264;925,442;933,2984
265;925,442;933,2984
266;925,442;933,2984
267;925,442;933,2984
268;925,442;933,2984
269;925,442;933,2984
270;925,442;933,2984
271;925,442;933,2984
272;925,442;933,2984
273;925,442;933,2984
274;925,442;933,2984
275;925,442;933,2984
276;925,442;933,2984
277;925,442;933,2984
278;925,442;933,2984
279;925,442;933,2984
280;925,442;933,2984
281;925,442;933,2984
282;925,442;933,2984
283;925,442;933,2984
284;925,442;933,2984
285;925,442;933,2984
286;925,442;933,2984
287;925,442;933,2984
288;925,442;933,2984
289;925,442;933,2984
290;925,442;933,2984
291;925,442;933,2984
292;925,442;933,2984
293;925,442;933,2984
294;925,442;933,2984
295;925,442;933,2984
296;925,442;933,2984
297;925,442;933,2984
298;925,442;933,2984
299;925,442;933,2984
300;925,442;933,2984
301;925,442;933,2984
302;925,442;933,2984
303;925,442;933,2984
304;925,442;933,2984
305;925,442;933,2984
306;925,442;933,2984
307;925,442;933,2984
308;925,442;933,2984
309;925,442;933,2984
310;925,442;933,2984
311;925,442;933,2984
312;925,442;933,2984
313;925,442;933,2984
314;925,442;933,2984
315;925,442;933,2984
316;925,442;933,2984
317;925,442;933,2984
318;925,442;933,2984
319;925,442;933,2984
320;925,442;933,2984
321;925,442;933,2984
322;925,442;933,2984
323;925,442;933,2984
324;925,442;933,2984
325;925,442;933,2984
326;925,442;933,2984
327;925,442;933,2984
328;925,442;933,2984
329;925,442;933,2984
330;925,442;933,2984
331;925,442;933,2984
332;925,442;933,2984
333;925,442;933,2984
334;925,442;933,2984
335;925,442;933,2984
336;925,442;933,2984
337;925,442;933,2984
338;925,442;933,2984
339;925,442;933,2984
340;925,442;933,2984
341;925,442;933,2984
342;925,442;933,2984
343;925,442;933,2984
344;925,442;933,2984
345;925,442;933,2984
346;925,442;933,2984
347;925,442;933,2984
348;925,442;933,2984
349;925,442;933,2984
350;925,442;933,2984
351;925,442;933,2984
352;925,442;933,2984
353;925,442;933,2984
354;925,442;933,2984
355;925,442;933,2984
356;925,442;933,2984
357;925,442;933,2984
358;925,442;933,2984
359;925,442;933,2984
360;925,442;933,2984
361;925,442;933,2984
362;925,442;933,2984
363;925,442;933,2984
364;925,442;933,2984
365;925,442;933,2984
366;925,442;933,2984
367;925,442;933,2984
368;925,442;933,2984
369;925,442;933,2984
370;925,442;933,2984
371;925,442;933,2984
372;925,442;933,2984
373;925,442;933,2984
374;925,442;933,2984
375;925,442;933,2984
376;925,442;933,2984
377;925,442;933,2984
378;925,442;933,2984
379;925,442;933,2984
380;925,442;933,2984
381;925,442;933,2984
382;925,442;933,2984
383;925,442;933,2984
384;925,442;933,2984
385;925,442;933,2984
386;925,442;933,2984
387;925,442;933,2984
388;925,442;933,2984
389;925,442;933,2984
390;925,442;933,2984
391;925,442;933,2984
392;925,442;933,2984
393;925,442;933,2984
394;925,442;933,2984
395;925,442;933,2984
396;925,442;933,2984
397;925,442;933,2984
398;925,442;933,2984
399;925,442;933,2984
400;925,442;933,2984
401;925,442;933,2984
402;925,442;933,2984
403;925,442;933,2984
404;925,442;933,2984
405;925,442;933,2984
406;925,442;933,2984
407;925,442;933,2984
408;925,442;933,2984
409;925,442;933,2984
410;925,442;933,2984
411;925,442;933,2984
412;925,442;933,2984
413;925,442;933,2984
414;925,442;933,2984
415;925,442;933,2984
416;925,442;933,2984
417;925,442;933,2984
418;925,442;933,2984
419;925,442;933,2984
420;925,442;933,2984
421;925,442;933,2984
422;925,442;933,2984
423;925,442;933,2984
424;925,442;933,2984
425;925,442;933,2984
426;925,442;933,2984
427;925,442;933,2984
428;925,442;933,2984
429;925,442;933,2984
430;925,442;933,2984
431;925,442;933,2984
432;925,442;933,2984
433;925,442;933,2984
434;925,442;933,2984
435;925,442;933,2984
436;925,442;933,2984
437;925,442;933,2984
438;925,442;933,2984
439;925,442;933,2984
440;925,442;933,2984
441;925,442;933,2984
442;925,442;933,2984
443;925,442;933,2984
444;925,442;933,2984
445;925,442;933,2984
446;925,442;933,2984
447;925,442;933,2984
448;925,442;933,2984
449;925,442;933,2984
450;925,442;933,2984
451;925,442;933,2984
452;925,442;933,2984
453;925,442;933,2984
454;925,442;933,2984
455;925,442;933,2984
456;925,442;933,2984
457;925,442;933,2984
458;925,442;933,2984
459;925,442;933,2984
460;925,442;933,2984
461;925,442;933,2984
462;925,442;933,2984
463;925,442;933,2984
464;925,442;933,2984
465;925,442;933,2984
466;925,442;933,2984
467;925,442;933,2984
468;925,442;933,2984
469;925,442;933,2984
470;925,442;933,2984
471;925,442;933,2984
472;925,442;933,2984
473;925,442;933,2984
474;925,442;933,2984
475;925,442;933,2984
476;925,442;933,2984
477;925,442;933,2984
478;925,442;933,2984
479;925,442;933,2984
480;925,442;933,2984
481;925,442;933,2984
482;925,442;933,2984
483;925,442;933,2984
484;925,442;933,2984
485;925,442;933,2984
486;925,442;933,2984
487;925,442;933,2984
488;925,442;933,2984
489;925,442;933,2984
490;925,442;933,2984
491;925,442;933,2984
492;925,442;933,2984
493;925,442;933,2984
494;925,442;933,2984
495;925,442;933,2984
496;925,442;933,2984
497;925,442;933,2984
498;925,442;933,2984
499;925,442;933,2984
500;925,442;933,2984
501;925,442;933,2984
502;925,442;933,2984
503;925,442;933,2984
504;925,442;933,2984
505;925,442;933,2984
506;925,442;933,2984
507;925,442;933,2984
508;925,442;933,2984
509;925,442;933,2984
510;925,442;933,2984
511;925,442;933,2984
512;925,442;933,2984
513;925,442;933,2984
514;925,442;933,2984
515;925,442;933,2984
516;925,442;933,2984
517;925,442;933,2984
518;925,442;933,2984
519;925,442;933,2984
520;925,442;933,2984
521;925,442;933,2984
522;925,442;933,2984
523;925,442;933,2984
524;925,442;933,2984
525;925,442;933,2984
526;925,442;933,2984
527;925,442;933,2984
528;925,442;933,2984
529;925,442;933,2984
530;925,442;933,2984
531;925,442;933,2984
532;925,442;933,2984
533;925,442;933,2984
534;925,442;933,2984
535;925,442;933,2984
536;925,442;933,2984
537;925,442;933,2984
538;925,442;933,2984
539;925,442;933,2984
540;925,442;933,2984
541;925,442;933,2984
542;925,442;933,2984
543;925,442;933,2984
544;925,442;933,2984
545;925,442;933,2984
546;925,442;933,2984
547;925,442;933,2984
548;925,442;933,2984
