1986,8844;;;;;
1919,4437;;;;;
1973,9929;;;;;
2254,884;;;;;
2138,1213;;;;;
1961,5747;;;;;
1990,179;;;;;
2303,2012;;;;;
1969,4714;;;;;
2356,6807;;;;;
2108,0613;;;;;
1845,6722;;;;;
2259,681;;;;;
1995,2589;;;;;
2195,2961;;;;;
2164,724;;;;;
1845,3024;;;;;
1943,7588;;;;;
2032,2874;;;;;
2201,499;;;;;
2318,1653;;;;;
2057,6335;;;;;
2138,2808;;;;;
2131,008;;;;;
2328,8547;;;;;
2174,441;;;;;
1882,9694;;;;;
2344,9749;;;;;
1980,2473;;;;;
2194,3735;;;;;
2236,9355;;;;;
2331,371;;;;;
2240,9167;;;;;
2166,6335;;;;;
1996,7821;;;;;
2347,5881;;;;;
2191,1323;;;;;
2047,6204;;;;;
2364,8289;;;;;
2083,907;;;;;
2019,1858;;;;;
2122,4739;;;;;
2017,6196;;;;;
1927,5156;;;;;
1671,0658;;;;;
2105,131;;;;;
2122,9214;;;;;
2148,1946;;;;;
2182,8684;;;;;
2075,794;;;;;
2115,8926;;;;;
2219,311;;;;;
2100,3674;;;;;
1889,8889;;;;;
2143,3462;;;;;
2247,8064;;;;;
2247,9895;;;;;
2283,6213;;;;;
2063,402;;;;;
1994,9023;;;;;
1891,5242;;;;;
2185,867;;;;;
2317,9087;;;;;
2151,8518;;;;;
2174,65;;;;;
2195,9395;;;;;
2313,9092;;;;;
2392,4175;;;;;
2165,475;;;;;
1974,2715;;;;;
2235,6328;;;;;
2110,165;;;;;
2175,4592;;;;;
2213,9917;;;;;
2276,0518;;;;;
2314,2231;;;;;
2228,1982;;;;;
1822,4049;;;;;
1960,0452;;;;;
2150,8062;;;;;
1947,0142;;;;;
1973,2313;;;;;
1893,9977;;;;;
1937,0245;;;;;
2119,2366;;;;;
1931,9591;;;;;
2188,416;;;;;
1864,3057;;;;;
2087,5999;;;;;
2047,0557;;;;;
2278,19;;;;;
2272,864;;;;;
2207,693;;;;;
2233,9202;;;;;
2406,3545;;;;;
2095,6018;;;;;
2135,584;;;;;
2287,8418;;;;;
2085,0369;;;;;
2048,2715;;;;;
2017,8163;;;;;
2180,138;;;;;
1780,9899;;;;;
2277,0156;;;;;
2251,6792;;;;;
2292,8325;;;;;
1979,3983;;;;;
1925,3907;;;;;
2012,67;;;;;
1889,2421;;;;;
2080,4724;;;;;
1922,1476;;;;;
2209,4573;;;;;
1924,7206;;;;;
1989,8126;;;;;
1895,8793;;;;;
1898,0823;;;;;
2087,4214;;;;;
1891,1763;;;;;
2341,4993;;;;;
1861,0055;;;;;
1934,0886;;;;;
2168,5557;;;;;
2019,5127;;;;;
2122,5276;;;;;
1986,3794;;;;;
2163,68;;;;;
2108,0347;;;;;
2246,7424;;;;;
1871,927;;;;;
2085,264;;;;;
2069,7927;;;;;
2040,5936;;;;;
2097,7688;;;;;
2012,4718;;;;;
1961,577;;;;;
2131,8135;;;;;
2070,6924;;;;;
2031,3392;;;;;
2082,438;;;;;
2053,0933;;;;;
