1; 100_100_0.7_0.009500001_5; 898.8582
2; 100_100_0.7_0.009500001_5; 1036.3551
3; 100_100_0.7_0.009500001_5; 900.1817
4; 100_100_0.7_0.009500001_5; 913.4494
5; 100_100_0.7_0.009500001_5; 1084.8083
6; 100_100_0.7_0.009500001_5; 1018.44165
7; 100_100_0.7_0.009500001_5; 1066.521
8; 100_100_0.7_0.009500001_5; 970.97614
9; 100_100_0.7_0.009500001_5; 1070.1968
0; 100_100_0.7_0.010000001_5; 998.50726
1; 100_100_0.7_0.010000001_5; 959.87494
2; 100_100_0.7_0.010000001_5; 1014.8484
3; 100_100_0.7_0.010000001_5; 1017.84937
4; 100_100_0.7_0.010000001_5; 987.06586
5; 100_100_0.7_0.010000001_5; 1010.87244
6; 100_100_0.7_0.010000001_5; 960.84424
7; 100_100_0.7_0.010000001_5; 989.38025
8; 100_100_0.7_0.010000001_5; 1053.7588
9; 100_100_0.7_0.010000001_5; 1130.6124
0; 100_100_0.7_0.010500001_5; 1020.1178
1; 100_100_0.7_0.010500001_5; 948.33997
2; 100_100_0.7_0.010500001_5; 982.03345
3; 100_100_0.7_0.010500001_5; 1109.6404
4; 100_100_0.7_0.010500001_5; 1109.1464
5; 100_100_0.7_0.010500001_5; 1013.9739
6; 100_100_0.7_0.010500001_5; 940.34106
7; 100_100_0.7_0.010500001_5; 1142.4409
8; 100_100_0.7_0.010500001_5; 907.341
9; 100_100_0.7_0.010500001_5; 1030.2291
0; 100_100_0.7_0.011000001_5; 1551.4469
1; 100_100_0.7_0.011000001_5; 968.36127
2; 100_100_0.7_0.011000001_5; 1078.3328
3; 100_100_0.7_0.011000001_5; 1044.3965
4; 100_100_0.7_0.011000001_5; 1062.631
5; 100_100_0.7_0.011000001_5; 1054.5652
6; 100_100_0.7_0.011000001_5; 1007.5081
7; 100_100_0.7_0.011000001_5; 987.60345
8; 100_100_0.7_0.011000001_5; 1090.2358
9; 100_100_0.7_0.011000001_5; 1064.0356
0; 100_100_0.7_0.011500001_5; 1025.5852
1; 100_100_0.7_0.011500001_5; 1027.7938
2; 100_100_0.7_0.011500001_5; 995.4885
3; 100_100_0.7_0.011500001_5; 1012.5737
4; 100_100_0.7_0.011500001_5; 1070.59
5; 100_100_0.7_0.011500001_5; 949.0849
6; 100_100_0.7_0.011500001_5; 945.2403
7; 100_100_0.7_0.011500001_5; 1004.91486
8; 100_100_0.7_0.011500001_5; 1035.6176
9; 100_100_0.7_0.011500001_5; 1001.8437
0; 100_100_0.7_0.012000001_5; 1065.3593
1; 100_100_0.7_0.012000001_5; 1218.8541
2; 100_100_0.7_0.012000001_5; 1061.7107
3; 100_100_0.7_0.012000001_5; 991.6688
4; 100_100_0.7_0.012000001_5; 991.5252
5; 100_100_0.7_0.012000001_5; 1048.027
6; 100_100_0.7_0.012000001_5; 893.2037
7; 100_100_0.7_0.012000001_5; 1045.2057
8; 100_100_0.7_0.012000001_5; 990.0447
9; 100_100_0.7_0.012000001_5; 948.0175
0; 100_100_0.7_0.012500001_5; 1017.1527
1; 100_100_0.7_0.012500001_5; 1008.6614
2; 100_100_0.7_0.012500001_5; 1110.1232
3; 100_100_0.7_0.012500001_5; 1014.2376
4; 100_100_0.7_0.012500001_5; 1005.96185
5; 100_100_0.7_0.012500001_5; 1113.4308
6; 100_100_0.7_0.012500001_5; 1139.326
7; 100_100_0.7_0.012500001_5; 969.2816
8; 100_100_0.7_0.012500001_5; 960.23737
9; 100_100_0.7_0.012500001_5; 962.82294
0; 100_100_0.7_0.013000001_5; 1043.4983
1; 100_100_0.7_0.013000001_5; 1100.4606
2; 100_100_0.7_0.013000001_5; 973.4845
3; 100_100_0.7_0.013000001_5; 1854.5271
4; 100_100_0.7_0.013000001_5; 965.86176
5; 100_100_0.7_0.013000001_5; 1118.6343
6; 100_100_0.7_0.013000001_5; 953.4807
7; 100_100_0.7_0.013000001_5; 1057.4231
8; 100_100_0.7_0.013000001_5; 1029.9059
9; 100_100_0.7_0.013000001_5; 945.3201
0; 100_100_0.7_0.013500001_5; 1080.0564
1; 100_100_0.7_0.013500001_5; 928.01465
2; 100_100_0.7_0.013500001_5; 1344.6442
3; 100_100_0.7_0.013500001_5; 1122.4231
4; 100_100_0.7_0.013500001_5; 927.9492
5; 100_100_0.7_0.013500001_5; 916.9448
6; 100_100_0.7_0.013500001_5; 1089.3865
7; 100_100_0.7_0.013500001_5; 972.46344
8; 100_100_0.7_0.013500001_5; 982.1937
9; 100_100_0.7_0.013500001_5; 1010.069
0; 100_100_0.7_0.014000001_5; 1095.3748
1; 100_100_0.7_0.014000001_5; 998.2851
2; 100_100_0.7_0.014000001_5; 1056.9811
3; 100_100_0.7_0.014000001_5; 957.3329
4; 100_100_0.7_0.014000001_5; 1042.0361
5; 100_100_0.7_0.014000001_5; 1005.69385
6; 100_100_0.7_0.014000001_5; 1031.1628
7; 100_100_0.7_0.014000001_5; 1770.9429
8; 100_100_0.7_0.014000001_5; 991.165
9; 100_100_0.7_0.014000001_5; 1007.4373
0; 100_100_0.7_0.014500001_5; 978.1405
1; 100_100_0.7_0.014500001_5; 1129.7399
2; 100_100_0.7_0.014500001_5; 1043.4907
3; 100_100_0.7_0.014500001_5; 942.2551
4; 100_100_0.7_0.014500001_5; 1112.0128
5; 100_100_0.7_0.014500001_5; 1001.03235
6; 100_100_0.7_0.014500001_5; 1027.1744
7; 100_100_0.7_0.014500001_5; 964.04944
8; 100_100_0.7_0.014500001_5; 1159.5424
9; 100_100_0.7_0.014500001_5; 1030.972
0; 100_100_0.7_0.0150000015_5; 1580.62
1; 100_100_0.7_0.0150000015_5; 955.91046
2; 100_100_0.7_0.0150000015_5; 1018.66315
3; 100_100_0.7_0.0150000015_5; 998.69934
4; 100_100_0.7_0.0150000015_5; 1384.0624
5; 100_100_0.7_0.0150000015_5; 1089.44
6; 100_100_0.7_0.0150000015_5; 1152.9456
7; 100_100_0.7_0.0150000015_5; 1109.5497
8; 100_100_0.7_0.0150000015_5; 1088.731
9; 100_100_0.7_0.0150000015_5; 2029.2019
0; 100_100_0.7_0.015500002_5; 1045.2837
1; 100_100_0.7_0.015500002_5; 875.002
2; 100_100_0.7_0.015500002_5; 1010.7885
3; 100_100_0.7_0.015500002_5; 912.7985
4; 100_100_0.7_0.015500002_5; 1091.0251
5; 100_100_0.7_0.015500002_5; 969.8184
6; 100_100_0.7_0.015500002_5; 1090.2434
7; 100_100_0.7_0.015500002_5; 1683.7743
8; 100_100_0.7_0.015500002_5; 1102.0068
9; 100_100_0.7_0.015500002_5; 988.9822
