;pop_size;gen;px;pm;tour;;;;;;;;;pop_size;gen;;;;;;;;Best;Worst;Average
2;100;600;0.7;0.1;20;;;864,511;;;;;;350;450;0.7;0.1;70;0;0;944,17346;0;820,7445;1019,9186;900,826461
3;100;600;0.7;0.1;20;;;934,6942;;;;;;350;500;0.7;0.1;70;0;0;874,3009;0;847,5114;973,0175;894,246908
4;100;600;0.7;0.1;20;;;868,0922;;;;;;350;550;0.7;0.1;70;0;0;934,26025;0;815,552;968,1345;880,73829
5;100;600;0.7;0.1;20;;;957,01013;;;;;;350;600;0.7;0.1;70;0;0;945,33624;0;797,87177;945,33624;873,054248
6;100;600;0.7;0.1;20;;;948,19305;;;;;;350;650;0.7;0.1;70;0;0;980,531;0;823,1403;1014,19226;907,329651
7;100;600;0.7;0.1;20;;;976,4236;;;;;;350;700;0.7;0.1;70;0;0;926,0793;0;804,06476;1016,1267;868,884787
8;100;600;0.7;0.1;20;;;869,03174;;Best;Worst;Average;;350;750;0.7;0.1;70;0;0;839,053;0;836,8242;931,32935;879,742278
9;100;600;0.7;0.1;20;;;915,7722;;864,511;985,6653;922,697362;;350;800;0.7;0.1;70;0;0;913,43195;0;819,57916;929,51025;877,877551
0;100;650;0.7;0.1;20;;;828,864;;;;;;350;850;0.7;0.1;70;0;0;832,9737;0;812,7828;912,9294;877,229668
1;100;650;0.7;0.1;20;;;823,20215;;;;;;350;900;0.7;0.1;70;0;0;858,2268;0;837,55536;959,63293;880,150908
2;100;650;0.7;0.1;20;;;835,5787;;;;;;350;950;0.7;0.1;70;0;0;937,2075;0;815,14545;992,2809;885,660601
3;100;650;0.7;0.1;20;;;846,52;;;;;;350;1000;0.7;0.1;70;0;0;978,31915;0;835,0131;978,31915;884,55394
4;100;650;0.7;0.1;20;;;903,4392;;;;;;400;100;0.7;0.1;80;0;0;896,57446;0;839,053;1046,6929;924,701636
5;100;650;0.7;0.1;20;;;860,80896;;;;;;400;150;0.7;0.1;80;0;0;817,6225;0;802,1264;993,6311;886,185822
6;100;650;0.7;0.1;20;;;830,1248;;;;;;400;200;0.7;0.1;80;0;0;880,1303;0;858,8784;990,6024;901,82545
7;100;650;0.7;0.1;20;;;883,7097;;;;;;400;250;0.7;0.1;80;0;0;985,84644;0;827,2095;1088,1958;914,545382
8;100;650;0.7;0.1;20;;;897,50635;;Best;Worst;Average;;400;300;0.7;0.1;80;0;0;850,0856;0;838,47345;960,9305;880,119442
9;100;650;0.7;0.1;20;;;876,1893;;823,20215;903,4392;858,594316;;400;350;0.7;0.1;80;0;0;831,82825;0;831,82825;926,53925;874,562887
0;100;700;0.7;0.1;20;;;968,8956;;;;;;400;400;0.7;0.1;80;0;0;844,08344;0;810,69403;988,6786;873,811617
1;100;700;0.7;0.1;20;;;872,1579;;;;;;400;450;0.7;0.1;80;0;0;902,40326;0;851,28375;1004,06006;909,315859
2;100;700;0.7;0.1;20;;;1058,873;;;;;;400;500;0.7;0.1;80;0;0;912,93494;0;837,53876;946,49927;885,112417
3;100;700;0.7;0.1;20;;;829,4113;;;;;;400;550;0.7;0.1;80;0;0;856,98303;0;819,5006;1026,4823;881,797223
4;100;700;0.7;0.1;20;;;831,85034;;;;;;400;600;0.7;0.1;80;0;0;987,05664;0;833,22784;987,05664;906,87982
5;100;700;0.7;0.1;20;;;845,6246;;;;;;400;650;0.7;0.1;80;0;0;927,9453;0;812,7828;940,93604;873,152944
6;100;700;0.7;0.1;20;;;884,73175;;;;;;400;700;0.7;0.1;80;0;0;818,6618;0;818,6618;944,6758;873,425606
7;100;700;0.7;0.1;20;;;820,6963;;;;;;400;750;0.7;0.1;80;0;0;819,951;0;819,57916;927,30444;862,870506
8;100;700;0.7;0.1;20;;;887,5875;;Best;Worst;Average;;400;800;0.7;0.1;80;0;0;983,4928;0;812,9033;983,4928;869,86795
9;100;700;0.7;0.1;20;;;1083,9827;;820,6963;1083,9827;908,381099;;400;850;0.7;0.1;80;0;0;846,85956;0;822,14996;934,50183;866,076542
0;100;750;0.7;0.1;20;;;902,79346;;;;;;400;900;0.7;0.1;80;0;0;949,3546;0;829,56525;1011,74994;898,404426
1;100;750;0.7;0.1;20;;;904,7578;;;;;;400;950;0.7;0.1;80;0;0;861,3192;0;822,02924;1009,0889;871,927691
2;100;750;0.7;0.1;20;;;889,7048;;;;;;400;1000;0.7;0.1;80;0;0;867,3685;0;804,0789;992,4569;883,029932
3;100;750;0.7;0.1;20;;;938,8654;;;;;;450;100;0.7;0.1;90;0;0;973,97345;0;848,48755;1035,956;909,525045
4;100;750;0.7;0.1;20;;;1097,4254;;;;;;450;150;0.7;0.1;90;0;0;887,9081;0;864,11676;950,7058;893,717604
5;100;750;0.7;0.1;20;;;842,5283;;;;;;450;200;0.7;0.1;90;0;0;918,30084;0;817,3717;1000,48535;890,725798
6;100;750;0.7;0.1;20;;;1004,58276;;;;;;450;250;0.7;0.1;90;0;0;881,57806;0;843,5104;1010,4104;916,75763
7;100;750;0.7;0.1;20;;;857,8853;;;;;;450;300;0.7;0.1;90;0;0;906,1466;0;840,29846;941,60156;891,822543
8;100;750;0.7;0.1;20;;;953,44226;;Best;Worst;Average;;450;350;0.7;0.1;90;0;0;874,1741;0;807,91223;1075,3569;879,644334
9;100;750;0.7;0.1;20;;;969,34326;;842,5283;1097,4254;936,132874;;450;400;0.7;0.1;90;0;0;928,0118;0;844,0594;959,1644;886,525087
0;100;800;0.7;0.1;20;;;957,6611;;;;;;450;450;0.7;0.1;90;0;0;873,89844;0;819,4975;956,385;886,776505
1;100;800;0.7;0.1;20;;;867,3062;;;;;;450;500;0.7;0.1;90;0;0;902,93066;0;815,552;928,282;878,257021
