5; 450_950_0.71_0.08999999_139;850,69763;;;;;;;;;;;;;;
6; 450_950_0.71_0.08999999_139;981,8061;;;;;;;;;;;;;;
7; 450_950_0.71_0.08999999_139;890,83014;;;;;;;;;;;;;;
8; 450_950_0.71_0.08999999_139;925,5498;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.08999999_139;844,4259;;844,4259;981,8061;894,636337;37,98841662;;;;;;;;;
0; 450_950_0.71_0.09999999_139;907,85736;;;;;;;;;;;;;;
1; 450_950_0.71_0.09999999_139;803,311;;;;;;;;;;;;;;
2; 450_950_0.71_0.09999999_139;901,53204;;;;;;;;;;;;;;
3; 450_950_0.71_0.09999999_139;824,9179;;;;;;;;;;;;;;
4; 450_950_0.71_0.09999999_139;853,3707;;;;;;;;;;;;;;
5; 450_950_0.71_0.09999999_139;817,8442;;;;;;;;;;;;;;
6; 450_950_0.71_0.09999999_139;901,9269;;;;;;;;;;;;;;
7; 450_950_0.71_0.09999999_139;883,3594;;;;;;;;;;;;;;
8; 450_950_0.71_0.09999999_139;929,4578;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.09999999_139;812,7855;;803,311;929,4578;863,63628;44,16513216;;;;;;;;;
0; 450_950_0.71_0.109999985_139;906,2729;;;;;;;;;;;;;;
1; 450_950_0.71_0.109999985_139;841,8952;;;;;;;;;;;;;;
2; 450_950_0.71_0.109999985_139;860,60486;;;;;;;;;;;;;;
3; 450_950_0.71_0.109999985_139;874,49615;;;;;;;;;;;;;;
4; 450_950_0.71_0.109999985_139;949,59753;;;;;;;;;;;;;;
5; 450_950_0.71_0.109999985_139;889,2979;;;;;;;;;;;;;;
6; 450_950_0.71_0.109999985_139;839,36755;;;;;;;;;;;;;;
7; 450_950_0.71_0.109999985_139;857,50574;;;;;;;;;;;;;;
8; 450_950_0.71_0.109999985_139;853,94257;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.109999985_139;802,1264;;802,1264;949,59753;867,51068;38,49599437;;;;;;;;;
0; 450_950_0.71_0.11999998_139;830,9456;;;;;;;;;;;;;;
1; 450_950_0.71_0.11999998_139;856,45624;;;;;;;;;;;;;;
2; 450_950_0.71_0.11999998_139;955,04425;;;;;;;;;;;;;;
3; 450_950_0.71_0.11999998_139;839,7342;;;;;;;;;;;;;;
4; 450_950_0.71_0.11999998_139;859,2682;;;;;;;;;;;;;;
5; 450_950_0.71_0.11999998_139;838,5436;;;;;;;;;;;;;;
6; 450_950_0.71_0.11999998_139;845,5505;;;;;;;;;;;;;;
7; 450_950_0.71_0.11999998_139;886,0857;;;;;;;;;;;;;;
8; 450_950_0.71_0.11999998_139;831,1704;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.11999998_139;888,57385;;830,9456;955,04425;863,137254;36,33205202;;;;;;;;;
0; 450_950_0.71_0.12999998_139;867,2632;;;;;;;;;;;;;;
1; 450_950_0.71_0.12999998_139;891,6073;;;;;;;;;;;;;;
2; 450_950_0.71_0.12999998_139;866,9607;;;;;;;;;;;;;;
3; 450_950_0.71_0.12999998_139;858,28046;;;;;;;;;;;;;;
4; 450_950_0.71_0.12999998_139;890,85834;;;;;;;;;;;;;;
5; 450_950_0.71_0.12999998_139;871,1724;;;;;;;;;;;;;;
6; 450_950_0.71_0.12999998_139;870,13275;;;;;;;;;;;;;;
7; 450_950_0.71_0.12999998_139;852,09076;;;;;;;;;;;;;;
8; 450_950_0.71_0.12999998_139;897,67126;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.12999998_139;997,03253;;852,09076;997,03253;886,30697;39,52460426;;;;;;;;;
0; 450_950_0.71_0.13999999_139;873,76953;;;;;;;;;;;;;;
1; 450_950_0.71_0.13999999_139;857,85754;;;;;;;;;;;;;;
2; 450_950_0.71_0.13999999_139;820,43365;;;;;;;;;;;;;;
3; 450_950_0.71_0.13999999_139;894,64667;;;;;;;;;;;;;;
4; 450_950_0.71_0.13999999_139;838,6471;;;;;;;;;;;;;;
5; 450_950_0.71_0.13999999_139;818,67633;;;;;;;;;;;;;;
6; 450_950_0.71_0.13999999_139;902,3858;;;;;;;;;;;;;;
7; 450_950_0.71_0.13999999_139;873,4177;;;;;;;;;;;;;;
8; 450_950_0.71_0.13999999_139;937,6788;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.13999999_139;864,2211;;818,67633;937,6788;868,173422;35,33274122;;;;;;;;;
0; 450_950_0.71_0.14999999_139;810,5735;;;;;;;;;;;;;;
1; 450_950_0.71_0.14999999_139;867,5078;;;;;;;;;;;;;;
2; 450_950_0.71_0.14999999_139;844,51624;;;;;;;;;;;;;;
3; 450_950_0.71_0.14999999_139;810,57355;;;;;;;;;;;;;;
